client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,1,0.5606,1.5874,16,1,4.41,15941,cached_cv
2,1,0.7138,0.9791,0,0,22.58,159333,cached_cv
1,1,0.7429,0.7535,0,0,52.10,159333,cached_cv
0,1,0.7458,0.7197,0,0,59.13,159333,cached_cv
GLOBAL,1,0.7453,0.7507,,,,,post_cv
3,2,0.7470,0.7229,14,1,1.16,77861,cached_cv
2,2,0.7450,0.8019,0,0,16.99,159333,cached_cv
1,2,0.7651,0.6653,0,0,48.07,159333,cached_cv
0,2,0.7556,0.7292,0,0,55.35,159333,cached_cv
GLOBAL,2,0.7852,0.6699,,,,,post_cv
3,3,0.7671,0.6904,12,1,1.61,78117,cached_cv
2,3,0.7528,0.7544,0,0,21.18,159333,cached_cv
1,3,0.7228,0.7999,1,1,53.26,156613,cached_cv
0,3,0.7766,0.6173,1,1,68.60,156613,cached_cv
GLOBAL,3,0.8044,0.6000,,,,,post_cv
3,4,0.7741,0.6879,10,1,1.36,115109,cached_cv
2,4,0.7540,0.7059,0,0,16.57,159333,cached_cv
1,4,0.7692,0.8446,0,0,43.36,159333,cached_cv
0,4,0.7577,0.6689,1,1,50.16,156613,cached_cv
GLOBAL,4,0.8010,0.6098,,,,,post_cv
3,5,0.7860,0.6556,9,1,1.34,115301,cached_cv
2,5,0.7565,0.6909,0,0,15.86,159333,cached_cv
1,5,0.7634,0.8040,1,1,43.44,156613,cached_cv
0,5,0.7721,0.6358,2,1,49.48,156549,cached_cv
GLOBAL,5,0.7976,0.6031,,,,,post_cv
3,6,0.7708,0.6947,8,1,1.68,146117,cached_cv
2,6,0.7676,0.8029,1,1,18.52,156613,cached_cv
1,6,0.7499,0.7198,1,1,43.44,156613,cached_cv
0,6,0.7791,0.6418,2,1,49.89,156549,cached_cv
GLOBAL,6,0.8017,0.5850,,,,,post_cv
3,7,0.7717,0.7482,6,1,1.42,146117,cached_cv
2,7,0.7667,0.7550,0,0,16.68,159333,cached_cv
1,7,0.7133,0.9052,0,0,44.60,159333,cached_cv
0,7,0.7721,0.6443,3,1,49.41,156549,cached_cv
GLOBAL,7,0.7982,0.5756,,,,,post_cv
3,8,0.7799,0.6419,5,1,1.40,146245,cached_cv
2,8,0.6587,0.9947,1,1,19.44,156613,cached_cv
1,8,0.7593,0.8704,1,1,54.49,156613,cached_cv
0,8,0.7671,0.6762,3,1,63.18,156549,cached_cv
GLOBAL,8,0.8150,0.6182,,,,,post_cv
3,9,0.7581,0.8259,3,1,1.87,156549,cached_cv
2,9,0.7659,0.8275,1,1,17.02,156613,cached_cv
1,9,0.7092,0.8561,2,1,40.07,156549,cached_cv
0,9,0.7643,0.6961,4,1,54.41,156549,cached_cv
GLOBAL,9,0.8084,0.5872,,,,,post_cv
3,10,0.7491,0.8687,3,1,1.65,156549,cached_cv
2,10,0.7659,0.8961,2,1,15.46,156549,cached_cv
1,10,0.7700,0.7267,2,1,46.25,156549,cached_cv
0,10,0.7745,0.6717,4,1,53.99,156549,cached_cv
GLOBAL,10,0.8068,0.6205,,,,,post_cv
3,11,0.7339,0.8828,3,1,1.74,156549,cached_cv
2,11,0.7639,0.7381,2,1,16.92,156549,cached_cv
1,11,0.7684,0.8062,3,1,43.32,156549,cached_cv
0,11,0.7441,0.7525,5,1,50.18,146245,cached_cv
GLOBAL,11,0.8122,0.5774,,,,,post_cv
3,12,0.7606,0.8457,4,1,1.53,156549,cached_cv
2,12,0.7515,0.9782,0,0,15.56,159333,cached_cv
1,12,0.7700,0.7273,0,0,46.73,159333,cached_cv
0,12,0.7573,0.8035,0,0,54.36,159333,cached_cv
GLOBAL,12,0.7888,0.6776,,,,,post_cv
3,13,0.7454,0.8440,4,1,1.64,156549,cached_cv
2,13,0.6706,1.1030,2,1,16.78,156549,cached_cv
1,13,0.6903,1.0956,3,1,39.88,156549,cached_cv
0,13,0.7671,0.6861,5,1,46.11,146245,cached_cv
GLOBAL,13,0.7998,0.6098,,,,,post_cv
3,14,0.7860,0.7738,5,1,1.60,146245,cached_cv
2,14,0.7187,1.3619,3,1,14.87,156549,cached_cv
1,14,0.7704,0.8377,3,1,35.49,156549,cached_cv
0,14,0.7791,0.7000,5,1,42.74,146245,cached_cv
GLOBAL,14,0.8057,0.6676,,,,,post_cv
3,15,0.7758,0.8297,5,1,1.45,146245,cached_cv
2,15,0.7749,0.8897,3,1,14.80,156549,cached_cv
1,15,0.7515,0.8894,4,1,35.65,156549,cached_cv
0,15,0.7852,0.6915,6,1,41.21,146117,cached_cv
GLOBAL,15,0.8143,0.6662,,,,,post_cv
