round,true,pred,count
1,0,0,5264
1,0,1,9
1,0,2,143
1,0,3,0
1,0,4,8
1,1,0,603
1,1,1,491
1,1,2,418
1,1,3,0
1,1,4,8
1,2,0,391
1,2,1,4
1,2,2,1073
1,2,3,0
1,2,4,8
1,3,0,228
1,3,1,0
1,3,2,92
1,3,3,0
1,3,4,4
1,4,0,437
1,4,1,86
1,4,2,48
1,4,3,3
1,4,4,458
2,0,0,5279
2,0,1,55
2,0,2,62
2,0,3,8
2,0,4,20
2,1,0,474
2,1,1,873
2,1,2,159
2,1,3,4
2,1,4,10
2,2,0,472
2,2,1,85
2,2,2,903
2,2,3,8
2,2,4,8
2,3,0,244
2,3,1,0
2,3,2,44
2,3,3,32
2,3,4,4
2,4,0,339
2,4,1,92
2,4,2,8
2,4,3,4
2,4,4,589
3,0,0,5146
3,0,1,65
3,0,2,167
3,0,3,18
3,0,4,28
3,1,0,381
3,1,1,934
3,1,2,193
3,1,3,4
3,1,4,8
3,2,0,300
3,2,1,55
3,2,2,1112
3,2,3,5
3,2,4,4
3,3,0,204
3,3,1,16
3,3,2,75
3,3,3,29
3,3,4,0
3,4,0,288
3,4,1,83
3,4,2,18
3,4,3,0
3,4,4,643
4,0,0,5235
4,0,1,34
4,0,2,88
4,0,3,20
4,0,4,47
4,1,0,432
4,1,1,856
4,1,2,202
4,1,3,4
4,1,4,26
4,2,0,411
4,2,1,40
4,2,2,1008
4,2,3,5
4,2,4,12
4,3,0,215
4,3,1,8
4,3,2,56
4,3,3,37
4,3,4,8
4,4,0,249
4,4,1,72
4,4,2,14
4,4,3,2
4,4,4,695
5,0,0,5251
5,0,1,39
5,0,2,67
5,0,3,36
5,0,4,31
5,1,0,480
5,1,1,877
5,1,2,134
5,1,3,4
5,1,4,25
5,2,0,471
5,2,1,58
5,2,2,923
5,2,3,12
5,2,4,12
5,3,0,231
5,3,1,15
5,3,2,19
5,3,3,55
5,3,4,4
5,4,0,276
5,4,1,48
5,4,2,8
5,4,3,9
5,4,4,691
6,0,0,5225
6,0,1,36
6,0,2,54
6,0,3,71
6,0,4,38
6,1,0,457
6,1,1,855
6,1,2,134
6,1,3,12
6,1,4,62
6,2,0,482
6,2,1,32
6,2,2,922
6,2,3,20
6,2,4,20
6,3,0,189
6,3,1,8
6,3,2,16
6,3,3,99
6,3,4,12
6,4,0,256
6,4,1,28
6,4,2,7
6,4,3,5
6,4,4,736
7,0,0,5075
7,0,1,44
7,0,2,127
7,0,3,45
7,0,4,133
7,1,0,394
7,1,1,797
7,1,2,240
7,1,3,8
7,1,4,81
7,2,0,354
7,2,1,15
7,2,2,1052
7,2,3,7
7,2,4,48
7,3,0,197
7,3,1,8
7,3,2,48
7,3,3,47
7,3,4,24
7,4,0,141
7,4,1,28
7,4,2,28
7,4,3,3
7,4,4,832
8,0,0,5114
8,0,1,116
8,0,2,151
8,0,3,18
8,0,4,25
8,1,0,296
8,1,1,1032
8,1,2,181
8,1,3,3
8,1,4,8
8,2,0,283
8,2,1,65
8,2,2,1120
8,2,3,8
8,2,4,0
8,3,0,199
8,3,1,20
8,3,2,69
8,3,3,29
8,3,4,7
8,4,0,234
8,4,1,105
8,4,2,20
8,4,3,1
8,4,4,672
9,0,0,5033
9,0,1,41
9,0,2,142
9,0,3,55
9,0,4,153
9,1,0,367
9,1,1,893
9,1,2,174
9,1,3,5
9,1,4,81
9,2,0,311
9,2,1,40
9,2,2,1072
9,2,3,16
9,2,4,37
9,3,0,184
9,3,1,16
9,3,2,44
9,3,3,60
9,3,4,20
9,4,0,129
9,4,1,28
9,4,2,28
9,4,3,2
9,4,4,845
10,0,0,5117
10,0,1,107
10,0,2,149
10,0,3,20
10,0,4,31
10,1,0,344
10,1,1,982
10,1,2,190
10,1,3,0
10,1,4,4
10,2,0,348
10,2,1,43
10,2,2,1071
10,2,3,8
10,2,4,6
10,3,0,188
10,3,1,16
10,3,2,76
10,3,3,37
10,3,4,7
10,4,0,264
10,4,1,68
10,4,2,20
10,4,3,0
10,4,4,680
11,0,0,4947
11,0,1,172
11,0,2,123
11,0,3,142
11,0,4,40
11,1,0,267
11,1,1,1110
11,1,2,117
11,1,3,25
11,1,4,1
11,2,0,296
11,2,1,102
11,2,2,1054
11,2,3,20
11,2,4,4
11,3,0,133
11,3,1,23
11,3,2,12
11,3,3,148
11,3,4,8
11,4,0,221
11,4,1,87
11,4,2,20
11,4,3,23
11,4,4,681
12,0,0,5247
12,0,1,21
12,0,2,43
12,0,3,74
12,0,4,39
12,1,0,498
12,1,1,813
12,1,2,166
12,1,3,16
12,1,4,27
12,2,0,554
12,2,1,33
12,2,2,854
12,2,3,20
12,2,4,15
12,3,0,192
12,3,1,8
12,3,2,16
12,3,3,104
12,3,4,4
12,4,0,279
12,4,1,32
12,4,2,16
12,4,3,12
12,4,4,693
13,0,0,4899
13,0,1,53
13,0,2,298
13,0,3,96
13,0,4,78
13,1,0,330
13,1,1,865
13,1,2,297
13,1,3,16
13,1,4,12
13,2,0,202
13,2,1,32
13,2,2,1226
13,2,3,12
13,2,4,4
13,3,0,113
13,3,1,20
13,3,2,76
13,3,3,103
13,3,4,12
13,4,0,172
13,4,1,64
13,4,2,57
13,4,3,13
13,4,4,726
14,0,0,5187
14,0,1,83
14,0,2,50
14,0,3,70
14,0,4,34
14,1,0,381
14,1,1,1014
14,1,2,113
14,1,3,4
14,1,4,8
14,2,0,490
14,2,1,64
14,2,2,891
14,2,3,25
14,2,4,6
14,3,0,175
14,3,1,20
14,3,2,16
14,3,3,105
14,3,4,8
14,4,0,243
14,4,1,81
14,4,2,17
14,4,3,11
14,4,4,680
15,0,0,5085
15,0,1,85
15,0,2,157
15,0,3,26
15,0,4,71
15,1,0,345
15,1,1,980
15,1,2,151
15,1,3,4
15,1,4,40
15,2,0,309
15,2,1,64
15,2,2,1087
15,2,3,8
15,2,4,8
15,3,0,181
15,3,1,16
15,3,2,63
15,3,3,48
15,3,4,16
15,4,0,196
15,4,1,52
15,4,2,20
15,4,3,3
15,4,4,761
