round,true,pred,count
1,0,0,5066
1,0,1,314
1,0,2,36
1,0,3,0
1,0,4,8
1,1,0,383
1,1,1,1064
1,1,2,63
1,1,3,0
1,1,4,10
1,2,0,370
1,2,1,540
1,2,2,558
1,2,3,0
1,2,4,8
1,3,0,264
1,3,1,20
1,3,2,32
1,3,3,0
1,3,4,8
1,4,0,346
1,4,1,203
1,4,2,7
1,4,3,0
1,4,4,476
2,0,0,4191
2,0,1,1148
2,0,2,53
2,0,3,0
2,0,4,32
2,1,0,134
2,1,1,1338
2,1,2,40
2,1,3,0
2,1,4,8
2,2,0,228
2,2,1,870
2,2,2,362
2,2,3,4
2,2,4,12
2,3,0,204
2,3,1,76
2,3,2,20
2,3,3,0
2,3,4,24
2,4,0,177
2,4,1,308
2,4,2,0
2,4,3,0
2,4,4,547
3,0,0,5245
3,0,1,67
3,0,2,47
3,0,3,37
3,0,4,28
3,1,0,514
3,1,1,823
3,1,2,146
3,1,3,5
3,1,4,32
3,2,0,518
3,2,1,140
3,2,2,794
3,2,3,12
3,2,4,12
3,3,0,223
3,3,1,4
3,3,2,24
3,3,3,65
3,3,4,8
3,4,0,281
3,4,1,70
3,4,2,8
3,4,3,4
3,4,4,669
4,0,0,4890
4,0,1,178
4,0,2,199
4,0,3,129
4,0,4,28
4,1,0,309
4,1,1,922
4,1,2,249
4,1,3,13
4,1,4,27
4,2,0,242
4,2,1,88
4,2,2,1121
4,2,3,21
4,2,4,4
4,3,0,117
4,3,1,17
4,3,2,44
4,3,3,142
4,3,4,4
4,4,0,211
4,4,1,84
4,4,2,12
4,4,3,32
4,4,4,693
5,0,0,5050
5,0,1,36
5,0,2,240
5,0,3,61
5,0,4,37
5,1,0,492
5,1,1,602
5,1,2,366
5,1,3,21
5,1,4,39
5,2,0,238
5,2,1,7
5,2,2,1201
5,2,3,17
5,2,4,13
5,3,0,167
5,3,1,0
5,3,2,71
5,3,3,86
5,3,4,0
5,4,0,239
5,4,1,39
5,4,2,29
5,4,3,17
5,4,4,708
6,0,0,4992
6,0,1,115
6,0,2,110
6,0,3,171
6,0,4,36
6,1,0,365
6,1,1,916
6,1,2,180
6,1,3,45
6,1,4,14
6,2,0,346
6,2,1,100
6,2,2,981
6,2,3,44
6,2,4,5
6,3,0,109
6,3,1,8
6,3,2,37
6,3,3,170
6,3,4,0
6,4,0,211
6,4,1,69
6,4,2,12
6,4,3,24
6,4,4,716
7,0,0,5153
7,0,1,65
7,0,2,133
7,0,3,43
7,0,4,30
7,1,0,390
7,1,1,869
7,1,2,229
7,1,3,4
7,1,4,28
7,2,0,322
7,2,1,62
7,2,2,1081
7,2,3,4
7,2,4,7
7,3,0,202
7,3,1,12
7,3,2,58
7,3,3,52
7,3,4,0
7,4,0,240
7,4,1,66
7,4,2,16
7,4,3,4
7,4,4,706
8,0,0,5135
8,0,1,27
8,0,2,109
8,0,3,61
8,0,4,92
8,1,0,456
8,1,1,745
8,1,2,211
8,1,3,12
8,1,4,96
8,2,0,343
8,2,1,45
8,2,2,1029
8,2,3,16
8,2,4,43
8,3,0,172
8,3,1,0
8,3,2,48
8,3,3,89
8,3,4,15
8,4,0,172
8,4,1,23
8,4,2,8
8,4,3,14
8,4,4,815
9,0,0,5051
9,0,1,91
9,0,2,157
9,0,3,93
9,0,4,32
9,1,0,366
9,1,1,939
9,1,2,176
9,1,3,14
9,1,4,25
9,2,0,295
9,2,1,72
9,2,2,1083
9,2,3,22
9,2,4,4
9,3,0,164
9,3,1,16
9,3,2,44
9,3,3,100
9,3,4,0
9,4,0,221
9,4,1,61
9,4,2,36
9,4,3,16
9,4,4,698
10,0,0,5079
10,0,1,99
10,0,2,121
10,0,3,112
10,0,4,13
10,1,0,354
10,1,1,955
10,1,2,174
10,1,3,33
10,1,4,4
10,2,0,347
10,2,1,79
10,2,2,1016
10,2,3,32
10,2,4,2
10,3,0,151
10,3,1,6
10,3,2,37
10,3,3,130
10,3,4,0
10,4,0,281
10,4,1,71
10,4,2,31
10,4,3,33
10,4,4,616
11,0,0,4975
11,0,1,194
11,0,2,147
11,0,3,80
11,0,4,28
11,1,0,307
11,1,1,1018
11,1,2,166
11,1,3,5
11,1,4,24
11,2,0,310
11,2,1,113
11,2,2,1043
11,2,3,4
11,2,4,6
11,3,0,158
11,3,1,21
11,3,2,51
11,3,3,89
11,3,4,5
11,4,0,204
11,4,1,68
11,4,2,24
11,4,3,8
11,4,4,728
12,0,0,5069
12,0,1,66
12,0,2,140
12,0,3,124
12,0,4,25
12,1,0,370
12,1,1,878
12,1,2,189
12,1,3,45
12,1,4,38
12,2,0,354
12,2,1,58
12,2,2,1033
12,2,3,26
12,2,4,5
12,3,0,136
12,3,1,0
12,3,2,38
12,3,3,146
12,3,4,4
12,4,0,223
12,4,1,32
12,4,2,8
12,4,3,22
12,4,4,747
13,0,0,5290
13,0,1,10
13,0,2,39
13,0,3,41
13,0,4,44
13,1,0,588
13,1,1,724
13,1,2,156
13,1,3,16
13,1,4,36
13,2,0,597
13,2,1,35
13,2,2,816
13,2,3,8
13,2,4,20
13,3,0,219
13,3,1,4
