round,true,pred,count
1,0,0,5233
1,0,1,127
1,0,2,40
1,0,3,4
1,0,4,20
1,1,0,550
1,1,1,851
1,1,2,100
1,1,3,0
1,1,4,19
1,2,0,548
1,2,1,242
1,2,2,674
1,2,3,4
1,2,4,8
1,3,0,266
1,3,1,10
1,3,2,28
1,3,3,12
1,3,4,8
1,4,0,319
1,4,1,151
1,4,2,6
1,4,3,0
1,4,4,556
2,0,0,5101
2,0,1,111
2,0,2,137
2,0,3,8
2,0,4,67
2,1,0,370
2,1,1,893
2,1,2,193
2,1,3,0
2,1,4,64
2,2,0,313
2,2,1,137
2,2,2,1003
2,2,3,0
2,2,4,23
2,3,0,203
2,3,1,0
2,3,2,68
2,3,3,22
2,3,4,31
2,4,0,217
2,4,1,60
2,4,2,16
2,4,3,0
2,4,4,739
3,0,0,4867
3,0,1,396
3,0,2,71
3,0,3,54
3,0,4,36
3,1,0,247
3,1,1,1165
3,1,2,93
3,1,3,7
3,1,4,8
3,2,0,331
3,2,1,360
3,2,2,758
3,2,3,15
3,2,4,12
3,3,0,180
3,3,1,44
3,3,2,24
3,3,3,76
3,3,4,0
3,4,0,219
3,4,1,115
3,4,2,6
3,4,3,13
3,4,4,679
4,0,0,4977
4,0,1,161
4,0,2,111
4,0,3,8
4,0,4,167
4,1,0,292
4,1,1,964
4,1,2,176
4,1,3,4
4,1,4,84
4,2,0,324
4,2,1,148
4,2,2,965
4,2,3,4
4,2,4,35
4,3,0,179
4,3,1,20
4,3,2,61
4,3,3,32
4,3,4,32
4,4,0,132
4,4,1,43
4,4,2,12
4,4,3,4
4,4,4,841
5,0,0,4903
5,0,1,381
5,0,2,63
5,0,3,32
5,0,4,45
5,1,0,234
5,1,1,1215
5,1,2,56
5,1,3,4
5,1,4,11
5,2,0,388
5,2,1,405
5,2,2,672
5,2,3,4
5,2,4,7
5,3,0,189
5,3,1,55
5,3,2,28
5,3,3,48
5,3,4,4
5,4,0,193
5,4,1,125
5,4,2,8
5,4,3,12
5,4,4,694
6,0,0,5066
6,0,1,63
6,0,2,112
6,0,3,137
6,0,4,46
6,1,0,412
6,1,1,810
6,1,2,241
6,1,3,37
6,1,4,20
6,2,0,387
6,2,1,43
6,2,2,1012
6,2,3,30
6,2,4,4
6,3,0,123
6,3,1,0
6,3,2,57
6,3,3,133
6,3,4,11
6,4,0,205
6,4,1,39
6,4,2,20
6,4,3,30
6,4,4,738
7,0,0,5066
7,0,1,228
7,0,2,77
7,0,3,37
7,0,4,16
7,1,0,291
7,1,1,1133
7,1,2,88
7,1,3,8
7,1,4,0
7,2,0,397
7,2,1,196
7,2,2,876
7,2,3,7
7,2,4,0
7,3,0,192
7,3,1,36
7,3,2,44
7,3,3,52
7,3,4,0
7,4,0,274
7,4,1,117
7,4,2,16
7,4,3,12
7,4,4,613
8,0,0,5081
8,0,1,37
8,0,2,195
8,0,3,69
8,0,4,42
8,1,0,427
8,1,1,768
8,1,2,244
8,1,3,27
8,1,4,54
8,2,0,276
8,2,1,31
8,2,2,1126
8,2,3,18
8,2,4,25
8,3,0,161
8,3,1,4
8,3,2,68
8,3,3,83
8,3,4,8
8,4,0,187
8,4,1,24
8,4,2,28
8,4,3,15
8,4,4,778
9,0,0,4986
9,0,1,159
9,0,2,181
9,0,3,45
9,0,4,53
9,1,0,297
9,1,1,1009
9,1,2,182
9,1,3,4
9,1,4,28
9,2,0,259
9,2,1,89
9,2,2,1108
9,2,3,8
9,2,4,12
9,3,0,169
9,3,1,27
9,3,2,67
9,3,3,57
9,3,4,4
9,4,0,177
9,4,1,62
9,4,2,28
9,4,3,12
9,4,4,753
10,0,0,5044
10,0,1,128
10,0,2,101
10,0,3,36
10,0,4,115
10,1,0,324
10,1,1,995
10,1,2,130
10,1,3,11
10,1,4,60
10,2,0,381
10,2,1,129
10,2,2,924
10,2,3,10
10,2,4,32
10,3,0,178
10,3,1,13
10,3,2,35
10,3,3,76
10,3,4,22
10,4,0,171
10,4,1,44
10,4,2,8
10,4,3,4
10,4,4,805
11,0,0,5207
11,0,1,121
11,0,2,67
11,0,3,9
11,0,4,20
11,1,0,374
11,1,1,970
11,1,2,148
11,1,3,4
11,1,4,24
11,2,0,466
11,2,1,118
11,2,2,880
11,2,3,0
11,2,4,12
11,3,0,217
11,3,1,19
11,3,2,34
11,3,3,46
11,3,4,8
11,4,0,259
11,4,1,57
11,4,2,12
11,4,3,8
11,4,4,696
12,0,0,5292
12,0,1,15
12,0,2,46
12,0,3,54
12,0,4,17
12,1,0,606
12,1,1,669
12,1,2,197
12,1,3,24
12,1,4,24
12,2,0,580
12,2,1,14
12,2,2,857
12,2,3,10
12,2,4,15
12,3,0,210
12,3,1,0
12,3,2,32
12,3,3,78
12,3,4,4
12,4,0,271
12,4,1,34
12,4,2,20
12,4,3,16
12,4,4,691
13,0,0,4979
13,0,1,91
13,0,2,123
13,0,3,74
13,0,4,157
13,1,0,372
13,1,1,923
13,1,2,133
13,1,3,14
13,1,4,78
13,2,0,349
13,2,1,97
13,2,2,974
13,2,3,11
13,2,4,45
13,3,0,162
13,3,1,12
13,3,2,36
13,3,3,75
13,3,4,39
13,4,0,153
13,4,1,41
13,4,2,16
13,4,3,6
13,4,4,816
14,0,0,4768
14,0,1,20
14,0,2,528
14,0,3,92
14,0,4,16
14,1,0,381
14,1,1,626
14,1,2,483
14,1,3,15
14,1,4,15
14,2,0,152
14,2,1,5
14,2,2,1309
14,2,3,6
14,2,4,4
14,3,0,143
14,3,1,0
14,3,2,92
14,3,3,89
14,3,4,0
14,4,0,248
14,4,1,28
14,4,2,71
14,4,3,10
14,4,4,675
15,0,0,4817
15,0,1,216
15,0,2,227
15,0,3,105
15,0,4,59
15,1,0,259
15,1,1,1037
15,1,2,174
15,1,3,26
15,1,4,24
15,2,0,252
15,2,1,82
