round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9705,0.3230,0.7270,0.0000,0.4438
2,0.9733,0.5743,0.6118,0.0988,0.5707
3,0.9487,0.6145,0.7534,0.0895,0.6231
4,0.9652,0.5632,0.6829,0.1142,0.6734
5,0.9681,0.5770,0.6253,0.1698,0.6696
6,0.9633,0.5625,0.6247,0.3056,0.7132
7,0.9357,0.5243,0.7127,0.1451,0.8062
8,0.9428,0.6789,0.7588,0.0895,0.6512
9,0.9279,0.5875,0.7263,0.1852,0.8188
10,0.9434,0.6461,0.7256,0.1142,0.6589
11,0.9121,0.7303,0.7141,0.4568,0.6599
12,0.9674,0.5349,0.5786,0.3210,0.6715
13,0.9032,0.5691,0.8306,0.3179,0.7035
14,0.9563,0.6671,0.6037,0.3241,0.6589
15,0.9375,0.6447,0.7364,0.1481,0.7374
