round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9340,0.7000,0.3780,0.0000,0.4612
2,0.7727,0.8803,0.2453,0.0000,0.5300
3,0.9670,0.5414,0.5379,0.2006,0.6483
4,0.9015,0.6066,0.7595,0.4383,0.6715
5,0.9310,0.3961,0.8137,0.2654,0.6860
6,0.9204,0.6026,0.6646,0.5247,0.6938
7,0.9500,0.5717,0.7324,0.1605,0.6841
8,0.9467,0.4901,0.6972,0.2747,0.7897
9,0.9312,0.6178,0.7337,0.3086,0.6764
10,0.9364,0.6283,0.6883,0.4012,0.5969
11,0.9172,0.6697,0.7066,0.2747,0.7054
12,0.9346,0.5776,0.6999,0.4506,0.7238
13,0.9753,0.4763,0.5528,0.2222,0.7403
14,0.9255,0.7033,0.7222,0.1451,0.6734
15,0.9242,0.6105,0.6938,0.4475,0.6812
