round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9648,0.5599,0.4566,0.0370,0.5388
2,0.9404,0.5875,0.6795,0.0679,0.7161
3,0.8973,0.7664,0.5136,0.2346,0.6579
4,0.9176,0.6342,0.6538,0.0988,0.8149
5,0.9039,0.7993,0.4553,0.1481,0.6725
6,0.9340,0.5329,0.6856,0.4105,0.7151
7,0.9340,0.7454,0.5935,0.1605,0.5940
8,0.9368,0.5053,0.7629,0.2562,0.7539
9,0.9192,0.6638,0.7507,0.1759,0.7297
10,0.9299,0.6546,0.6260,0.2346,0.7800
11,0.9600,0.6382,0.5962,0.1420,0.6744
12,0.9757,0.4401,0.5806,0.2407,0.6696
13,0.9180,0.6072,0.6599,0.2315,0.7907
14,0.8791,0.4118,0.8869,0.2747,0.6541
15,0.8881,0.6822,0.7575,0.2932,0.7112
