client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,1,0.5786,1.5282,0,0,4.45,159333,cached_cv
2,1,0.3922,1.6838,0,0,17.76,159333,cached_cv
1,1,0.5918,1.0677,0,0,42.48,159333,cached_cv
0,1,0.7474,0.6990,0,0,50.36,159333,cached_cv
GLOBAL,1,0.7207,0.8214,,,,,cached_cv
3,2,0.7203,0.8027,0,0,1.67,159333,cached_cv
2,2,0.7285,0.8307,0,0,16.44,159333,cached_cv
1,2,0.7708,0.6556,0,0,39.58,159333,cached_cv
0,2,0.7741,0.6523,0,0,47.06,159333,cached_cv
GLOBAL,2,0.7891,0.6185,,,,,cached_cv
3,3,0.7068,0.8332,0,0,1.61,159333,cached_cv
2,3,0.7429,0.7729,0,0,17.97,159333,cached_cv
1,3,0.6768,0.9406,0,0,42.42,159333,cached_cv
0,3,0.7585,0.6718,0,0,49.35,159333,cached_cv
GLOBAL,3,0.8065,0.5569,,,,,cached_cv
3,4,0.7142,0.7665,0,0,1.62,159333,cached_cv
2,4,0.7314,0.7607,0,0,15.63,159333,cached_cv
1,4,0.7852,0.6283,0,0,40.65,159333,cached_cv
0,4,0.7351,0.7398,0,0,47.20,159333,cached_cv
GLOBAL,4,0.7948,0.5907,,,,,cached_cv
3,5,0.7064,0.8116,0,0,2.38,159333,cached_cv
2,5,0.7515,0.8274,0,0,18.97,159333,cached_cv
1,5,0.7614,0.6932,0,0,47.94,159333,cached_cv
0,5,0.7593,0.6727,0,0,55.76,159333,cached_cv
GLOBAL,5,0.8004,0.5698,,,,,cached_cv
3,6,0.7548,0.7758,0,0,1.77,159333,cached_cv
2,6,0.7713,0.6651,0,0,19.65,159333,cached_cv
1,6,0.7520,0.7833,0,0,48.96,159333,cached_cv
0,6,0.7421,0.8340,0,0,57.04,159333,cached_cv
GLOBAL,6,0.7788,0.7004,,,,,cached_cv
3,7,0.7667,0.7640,0,0,1.92,159333,cached_cv
2,7,0.7244,0.9134,0,0,19.40,159333,cached_cv
1,7,0.7466,0.7677,0,0,49.32,159333,cached_cv
0,7,0.7384,0.7067,0,0,58.04,159333,cached_cv
GLOBAL,7,0.7973,0.5938,,,,,cached_cv
3,8,0.7688,0.7238,0,0,1.77,159333,cached_cv
2,8,0.7491,0.8429,0,0,18.11,159333,cached_cv
1,8,0.7540,0.7740,0,0,46.70,159333,cached_cv
0,8,0.7400,0.7423,0,0,55.25,159333,cached_cv
GLOBAL,8,0.7923,0.6298,,,,,cached_cv
3,9,0.7556,0.7761,0,0,2.11,159333,cached_cv
2,9,0.7815,0.6687,0,0,19.01,159333,cached_cv
1,9,0.7770,0.7997,0,0,46.76,159333,cached_cv
0,9,0.7618,0.6808,0,0,55.37,159333,cached_cv
GLOBAL,9,0.7873,0.6392,,,,,cached_cv
3,10,0.7696,0.7782,0,0,1.77,159333,cached_cv
2,10,0.7548,0.7777,0,0,17.12,159333,cached_cv
1,10,0.7351,0.8958,0,0,46.92,159333,cached_cv
0,10,0.7749,0.6894,0,0,55.50,159333,cached_cv
GLOBAL,10,0.8025,0.6183,,,,,cached_cv
3,11,0.7639,0.8938,0,0,1.78,159333,cached_cv
2,11,0.7700,0.6735,0,0,17.64,159333,cached_cv
1,11,0.5372,2.4100,0,0,46.08,159333,cached_cv
0,11,0.7791,0.6516,0,0,54.04,159333,cached_cv
GLOBAL,11,0.7917,0.6530,,,,,cached_cv
3,12,0.7807,0.7893,0,0,1.88,159333,cached_cv
2,12,0.7639,0.7184,0,0,18.76,159333,cached_cv
1,12,0.7532,0.8434,0,0,48.19,159333,cached_cv
0,12,0.7770,0.7518,0,0,55.42,159333,cached_cv
GLOBAL,12,0.7991,0.6660,,,,,cached_cv
3,13,0.7807,0.7604,0,0,1.84,159333,cached_cv
2,13,0.7606,0.8539,0,0,17.49,159333,cached_cv
1,13,0.7035,0.9821,0,0,47.82,159333,cached_cv
0,13,0.7848,0.6821,0,0,56.56,159333,cached_cv
GLOBAL,13,0.8004,0.6316,,,,,cached_cv
3,14,0.7524,0.9358,0,0,2.44,159333,cached_cv
2,14,0.7458,0.8173,0,0,17.72,159333,cached_cv
1,14,0.7388,1.0961,0,0,48.40,159333,cached_cv
0,14,0.7819,0.6751,0,0,57.17,159333,cached_cv
GLOBAL,14,0.8106,0.6327,,,,,cached_cv
3,15,0.7606,0.9722,0,0,2.42,159333,cached_cv
2,15,0.6858,0.9244,0,0,18.67,159333,cached_cv
1,15,0.6086,2.0949,0,0,46.96,159333,cached_cv
0,15,0.7216,0.8205,0,0,55.64,159333,cached_cv
GLOBAL,15,0.7881,0.6685,,,,,cached_cv
3,1,0.5782,1.5297,0,0,4.20,159333,no_cv
2,1,0.6571,0.9927,0,0,13.90,159333,no_cv
1,1,0.7203,0.7852,0,0,29.72,159333,no_cv
0,1,0.6990,0.8106,0,0,44.23,159333,no_cv
GLOBAL,1,0.7568,0.7430,,,,,no_cv
3,2,0.7228,0.7916,0,0,2.07,159333,no_cv
2,2,0.7548,0.7340,0,0,12.88,159333,no_cv
