round,true,pred,count
1,0,0,4755
1,0,1,472
1,0,2,197
1,0,3,0
1,0,4,0
1,1,0,246
1,1,1,1160
1,1,2,114
1,1,3,0
1,1,4,0
1,2,0,224
1,2,1,456
1,2,2,796
1,2,3,0
1,2,4,0
1,3,0,195
1,3,1,29
1,3,2,100
1,3,3,0
1,3,4,0
1,4,0,256
1,4,1,405
1,4,2,36
1,4,3,0
1,4,4,335
2,0,0,5155
2,0,1,93
2,0,2,143
2,0,3,17
2,0,4,16
2,1,0,400
2,1,1,921
2,1,2,191
2,1,3,4
2,1,4,4
2,2,0,337
2,2,1,83
2,2,2,1047
2,2,3,6
2,2,4,3
2,3,0,214
2,3,1,10
2,3,2,67
2,3,3,33
2,3,4,0
2,4,0,313
2,4,1,127
2,4,2,27
2,4,3,7
2,4,4,558
3,0,0,5150
3,0,1,53
3,0,2,102
3,0,3,52
3,0,4,67
3,1,0,396
3,1,1,883
3,1,2,196
3,1,3,9
3,1,4,36
3,2,0,339
3,2,1,73
3,2,2,1036
3,2,3,12
3,2,4,16
3,3,0,194
3,3,1,4
3,3,2,57
3,3,3,63
3,3,4,6
3,4,0,178
3,4,1,68
3,4,2,22
3,4,3,12
3,4,4,752
4,0,0,4947
4,0,1,104
4,0,2,311
4,0,3,45
4,0,4,17
4,1,0,331
4,1,1,991
4,1,2,194
4,1,3,4
4,1,4,0
4,2,0,196
4,2,1,83
4,2,2,1187
4,2,3,6
4,2,4,4
4,3,0,169
4,3,1,12
4,3,2,75
4,3,3,60
4,3,4,8
4,4,0,252
4,4,1,132
4,4,2,53
4,4,3,10
4,4,4,585
5,0,0,5065
5,0,1,68
5,0,2,202
5,0,3,67
5,0,4,22
5,1,0,346
5,1,1,930
5,1,2,228
5,1,3,8
5,1,4,8
5,2,0,280
5,2,1,57
5,2,2,1132
5,2,3,7
5,2,4,0
5,3,0,159
5,3,1,7
5,3,2,73
5,3,3,85
5,3,4,0
5,4,0,240
5,4,1,110
5,4,2,49
5,4,3,20
5,4,4,613
6,0,0,5298
6,0,1,20
6,0,2,48
6,0,3,34
6,0,4,24
6,1,0,548
6,1,1,661
6,1,2,248
6,1,3,12
6,1,4,51
6,2,0,554
6,2,1,6
6,2,2,896
6,2,3,12
6,2,4,8
6,3,0,251
6,3,1,0
6,3,2,16
6,3,3,53
6,3,4,4
6,4,0,283
6,4,1,16
6,4,2,19
6,4,3,8
6,4,4,706
7,0,0,4957
7,0,1,266
7,0,2,123
7,0,3,54
7,0,4,24
7,1,0,243
7,1,1,1182
7,1,2,83
7,1,3,8
7,1,4,4
7,2,0,333
7,2,1,195
7,2,2,927
7,2,3,17
7,2,4,4
7,3,0,177
7,3,1,27
7,3,2,32
7,3,3,84
7,3,4,4
7,4,0,238
7,4,1,126
7,4,2,20
7,4,3,4
7,4,4,644
8,0,0,5055
8,0,1,181
8,0,2,60
8,0,3,108
8,0,4,20
8,1,0,294
8,1,1,1130
8,1,2,68
8,1,3,16
8,1,4,12
8,2,0,464
8,2,1,164
8,2,2,808
8,2,3,28
8,2,4,12
8,3,0,134
8,3,1,32
8,3,2,24
8,3,3,134
8,3,4,0
8,4,0,253
8,4,1,148
8,4,2,4
8,4,3,8
8,4,4,619
9,0,0,5234
9,0,1,36
9,0,2,84
9,0,3,38
9,0,4,32
9,1,0,471
9,1,1,766
9,1,2,227
9,1,3,8
9,1,4,48
9,2,0,486
9,2,1,20
9,2,2,935
9,2,3,15
9,2,4,20
9,3,0,233
9,3,1,4
9,3,2,36
9,3,3,47
9,3,4,4
9,4,0,269
9,4,1,28
9,4,2,20
9,4,3,0
9,4,4,715
10,0,0,5084
10,0,1,52
10,0,2,145
10,0,3,75
10,0,4,68
10,1,0,402
10,1,1,767
10,1,2,300
10,1,3,16
10,1,4,35
10,2,0,337
10,2,1,9
10,2,2,1098
10,2,3,20
10,2,4,12
10,3,0,147
10,3,1,0
10,3,2,43
10,3,3,126
10,3,4,8
10,4,0,161
10,4,1,51
10,4,2,40
10,4,3,10
10,4,4,770
11,0,0,4939
11,0,1,312
11,0,2,89
11,0,3,72
11,0,4,12
11,1,0,238
11,1,1,1204
11,1,2,56
11,1,3,14
11,1,4,8
11,2,0,398
11,2,1,183
11,2,2,859
11,2,3,32
11,2,4,4
11,3,0,170
11,3,1,24
11,3,2,9
11,3,3,121
11,3,4,0
11,4,0,284
11,4,1,108
11,4,2,15
11,4,3,8
11,4,4,617
12,0,0,5202
12,0,1,60
12,0,2,76
12,0,3,48
12,0,4,38
12,1,0,440
12,1,1,849
12,1,2,200
12,1,3,11
12,1,4,20
12,2,0,472
12,2,1,16
12,2,2,963
12,2,3,21
12,2,4,4
12,3,0,198
12,3,1,4
12,3,2,39
12,3,3,79
12,3,4,4
12,4,0,241
12,4,1,49
12,4,2,19
12,4,3,4
12,4,4,719
13,0,0,5071
13,0,1,48
13,0,2,139
13,0,3,134
13,0,4,32
13,1,0,389
13,1,1,875
13,1,2,225
13,1,3,19
13,1,4,12
13,2,0,336
13,2,1,28
13,2,2,1071
13,2,3,37
13,2,4,4
13,3,0,113
13,3,1,11
13,3,2,38
13,3,3,162
13,3,4,0
13,4,0,218
13,4,1,96
13,4,2,59
13,4,3,13
13,4,4,646
14,0,0,5023
14,0,1,87
14,0,2,199
14,0,3,57
14,0,4,58
14,1,0,343
14,1,1,949
14,1,2,196
14,1,3,9
14,1,4,23
14,2,0,274
14,2,1,67
14,2,2,1105
14,2,3,23
14,2,4,7
14,3,0,166
14,3,1,4
14,3,2,42
14,3,3,108
14,3,4,4
14,4,0,181
14,4,1,77
14,4,2,29
14,4,3,6
14,4,4,739
15,0,0,4687
15,0,1,442
15,0,2,135
15,0,3,120
15,0,4,40
15,1,0,200
15,1,1,1214
15,1,2,73
15,1,3,17
15,1,4,16
15,2,0,255
15,2,1,229
15,2,2,946
15,2,3,30
15,2,4,16
15,3,0,115
15,3,1,26
15,3,2,35
15,3,3,140
15,3,4,8
15,4,0,170
15,4,1,121
15,4,2,12
15,4,3,12
15,4,4,717
1,0,0,5206
1,0,1,75
1,0,2,139
1,0,3,0
1,0,4,4
1,1,0,513
1,1,1,723
1,1,2,276
1,1,3,0
1,1,4,8
1,2,0,349
1,2,1,112
1,2,2,1003
1,2,3,4
1,2,4,8
1,3,0,221
1,3,1,4
1,3,2,95
1,3,3,0
1,3,4,4
1,4,0,378
1,4,1,145
1,4,2,43
1,4,3,0
1,4,4,466
2,0,0,4895
2,0,1,160
2,0,2,299
2,0,3,54
2,0,4,16
2,1,0,350
2,1,1,927
2,1,2,231
2,1,3,8
2,1,4,4
2,2,0,192
2,2,1,155
2,2,2,1125
2,2,3,4
2,2,4,0
2,3,0,165
2,3,1,8
2,3,2,89
2,3,3,62
2,3,4,0
2,4,0,251
2,4,1,138
2,4,2,52
2,4,3,16
2,4,4,575
3,0,0,5069
3,0,1,36
3,0,2,159
3,0,3,84
3,0,4,76
3,1,0,410
3,1,1,744
3,1,2,254
3,1,3,15
3,1,4,97
3,2,0,308
3,2,1,49
3,2,2,1083
3,2,3,20
3,2,4,16
3,3,0,152
3,3,1,0
3,3,2,52
3,3,3,96
3,3,4,24
3,4,0,184
3,4,1,37
3,4,2,32
3,4,3,8
3,4,4,771
4,0,0,4953
4,0,1,167
4,0,2,249
4,0,3,39
4,0,4,16
4,1,0,285
4,1,1,1067
4,1,2,164
4,1,3,4
4,1,4,0
4,2,0,205
4,2,1,120
4,2,2,1146
4,2,3,1
4,2,4,4
4,3,0,161
4,3,1,17
4,3,2,81
4,3,3,57
4,3,4,8
4,4,0,261
4,4,1,153
4,4,2,39
4,4,3,8
4,4,4,571
5,0,0,5105
5,0,1,153
5,0,2,91
5,0,3,51
5,0,4,24
5,1,0,324
5,1,1,1087
5,1,2,92
5,1,3,13
5,1,4,4
5,2,0,392
5,2,1,196
5,2,2,862
5,2,3,14
5,2,4,12
5,3,0,195
5,3,1,12
5,3,2,32
5,3,3,77
5,3,4,8
5,4,0,260
5,4,1,111
5,4,2,19
5,4,3,18
5,4,4,624
6,0,0,5278
6,0,1,32
6,0,2,60
6,0,3,37
6,0,4,17
6,1,0,517
6,1,1,761
6,1,2,209
6,1,3,13
6,1,4,20
6,2,0,533
6,2,1,16
6,2,2,910
6,2,3,13
6,2,4,4
6,3,0,228
6,3,1,6
6,3,2,20
6,3,3,66
6,3,4,4
6,4,0,348
6,4,1,28
6,4,2,12
6,4,3,16
6,4,4,628
7,0,0,5043
7,0,1,142
7,0,2,90
7,0,3,116
7,0,4,33
7,1,0,316
7,1,1,1079
7,1,2,93
7,1,3,16
7,1,4,16
7,2,0,380
7,2,1,139
7,2,2,916
7,2,3,30
7,2,4,11
7,3,0,144
7,3,1,12
7,3,2,24
7,3,3,140
7,3,4,4
7,4,0,234
7,4,1,84
7,4,2,12
7,4,3,13
7,4,4,689
8,0,0,4783
8,0,1,243
8,0,2,165
8,0,3,217
8,0,4,16
8,1,0,251
8,1,1,1148
8,1,2,93
8,1,3,24
8,1,4,4
8,2,0,252
8,2,1,182
8,2,2,993
8,2,3,41
8,2,4,8
8,3,0,97
8,3,1,28
8,3,2,21
8,3,3,178
8,3,4,0
8,4,0,238
8,4,1,143
8,4,2,22
8,4,3,21
8,4,4,608
9,0,0,5186
9,0,1,81
9,0,2,92
9,0,3,30
9,0,4,35
9,1,0,370
9,1,1,951
9,1,2,160
9,1,3,8
9,1,4,31
9,2,0,419
9,2,1,57
9,2,2,968
9,2,3,10
9,2,4,22
9,3,0,214
9,3,1,12
9,3,2,36
9,3,3,54
9,3,4,8
9,4,0,241
9,4,1,60
9,4,2,15
9,4,3,0
9,4,4,716
10,0,0,5083
10,0,1,44
10,0,2,121
10,0,3,113
10,0,4,63
10,1,0,410
10,1,1,804
10,1,2,249
10,1,3,17
10,1,4,40
10,2,0,407
10,2,1,26
10,2,2,1013
10,2,3,14
10,2,4,16
10,3,0,154
10,3,1,0
10,3,2,35
10,3,3,131
10,3,4,4
10,4,0,176
10,4,1,40
10,4,2,32
10,4,3,16
10,4,4,768
11,0,0,4968
11,0,1,87
11,0,2,148
11,0,3,174
11,0,4,47
11,1,0,340
11,1,1,918
11,1,2,184
11,1,3,33
11,1,4,45
11,2,0,310
11,2,1,41
11,2,2,1074
11,2,3,37
11,2,4,14
11,3,0,113
11,3,1,8
11,3,2,26
11,3,3,169
11,3,4,8
11,4,0,186
11,4,1,44
11,4,2,19
11,4,3,29
11,4,4,754
12,0,0,5121
12,0,1,167
12,0,2,77
12,0,3,43
12,0,4,16
12,1,0,289
12,1,1,1111
12,1,2,104
12,1,3,8
12,1,4,8
12,2,0,403
12,2,1,114
12,2,2,932
12,2,3,13
12,2,4,14
12,3,0,190
12,3,1,16
12,3,2,42
12,3,3,72
12,3,4,4
12,4,0,256
12,4,1,108
12,4,2,12
12,4,3,0
12,4,4,656
13,0,0,5236
13,0,1,40
13,0,2,71
13,0,3,57
13,0,4,20
13,1,0,464
13,1,1,792
13,1,2,236
13,1,3,16
13,1,4,12
13,2,0,484
13,2,1,4
13,2,2,968
13,2,3,12
13,2,4,8
13,3,0,198
13,3,1,8
13,3,2,22
13,3,3,96
13,3,4,0
13,4,0,300
13,4,1,32
13,4,2,27
13,4,3,12
13,4,4,661
14,0,0,5177
14,0,1,67
14,0,2,95
14,0,3,57
14,0,4,28
14,1,0,391
14,1,1,975
14,1,2,119
14,1,3,13
14,1,4,22
14,2,0,451
14,2,1,68
14,2,2,929
14,2,3,16
14,2,4,12
14,3,0,190
14,3,1,5
14,3,2,32
14,3,3,93
14,3,4,4
14,4,0,267
14,4,1,69
14,4,2,12
14,4,3,4
14,4,4,680
15,0,0,5131
15,0,1,58
15,0,2,92
15,0,3,70
15,0,4,73
15,1,0,367
15,1,1,943
15,1,2,150
15,1,3,13
15,1,4,47
15,2,0,375
15,2,1,41
15,2,2,1018
15,2,3,13
15,2,4,29
15,3,0,153
15,3,1,15
15,3,2,32
15,3,3,111
15,3,4,13
15,4,0,199
15,4,1,52
15,4,2,13
15,4,3,0
15,4,4,768
