round,true,pred,count
1,0,0,5064
1,0,1,315
1,0,2,37
1,0,3,0
1,0,4,8
1,1,0,381
1,1,1,1065
1,1,2,64
1,1,3,0
1,1,4,10
1,2,0,366
1,2,1,544
1,2,2,558
1,2,3,0
1,2,4,8
1,3,0,263
1,3,1,20
1,3,2,32
1,3,3,0
1,3,4,9
1,4,0,345
1,4,1,199
1,4,2,7
1,4,3,0
1,4,4,481
2,0,0,4145
2,0,1,1171
2,0,2,77
2,0,3,0
2,0,4,31
2,1,0,127
2,1,1,1344
2,1,2,41
2,1,3,0
2,1,4,8
2,2,0,214
2,2,1,872
2,2,2,374
2,2,3,4
2,2,4,12
2,3,0,201
2,3,1,79
2,3,2,22
2,3,3,0
2,3,4,22
2,4,0,179
2,4,1,331
2,4,2,3
2,4,3,0
2,4,4,519
3,0,0,5266
3,0,1,47
3,0,2,43
3,0,3,40
3,0,4,28
3,1,0,537
3,1,1,770
3,1,2,160
3,1,3,8
3,1,4,45
3,2,0,525
3,2,1,118
3,2,2,807
3,2,3,14
3,2,4,12
3,3,0,222
3,3,1,4
3,3,2,24
3,3,3,67
3,3,4,7
3,4,0,282
3,4,1,51
3,4,2,8
3,4,3,6
3,4,4,685
4,0,0,4842
4,0,1,207
4,0,2,216
4,0,3,130
4,0,4,29
4,1,0,291
4,1,1,936
4,1,2,252
4,1,3,12
4,1,4,29
4,2,0,225
4,2,1,100
4,2,2,1131
4,2,3,16
4,2,4,4
4,3,0,120
4,3,1,16
4,3,2,52
4,3,3,132
4,3,4,4
4,4,0,196
4,4,1,94
4,4,2,17
4,4,3,29
4,4,4,696
5,0,0,5053
5,0,1,39
5,0,2,228
5,0,3,60
5,0,4,44
5,1,0,488
5,1,1,610
5,1,2,356
5,1,3,20
5,1,4,46
5,2,0,242
5,2,1,12
5,2,2,1193
5,2,3,16
5,2,4,13
5,3,0,168
5,3,1,0
5,3,2,72
5,3,3,82
5,3,4,2
5,4,0,233
5,4,1,35
5,4,2,27
5,4,3,8
5,4,4,729
6,0,0,5065
6,0,1,92
6,0,2,86
6,0,3,145
6,0,4,36
6,1,0,417
6,1,1,846
6,1,2,193
6,1,3,44
6,1,4,20
