round,true,pred,count
1,0,0,5223
1,0,1,112
1,0,2,53
1,0,3,1
1,0,4,35
1,1,0,533
1,1,1,839
1,1,2,107
1,1,3,0
1,1,4,41
1,2,0,477
1,2,1,285
1,2,2,698
1,2,3,4
1,2,4,12
1,3,0,286
1,3,1,4
1,3,2,20
1,3,3,2
1,3,4,12
1,4,0,310
1,4,1,101
1,4,2,5
1,4,3,4
1,4,4,612
2,0,0,5042
2,0,1,97
2,0,2,140
2,0,3,44
2,0,4,101
2,1,0,433
2,1,1,803
2,1,2,189
2,1,3,9
2,1,4,86
2,2,0,326
2,2,1,117
2,2,2,991
2,2,3,20
2,2,4,22
2,3,0,185
2,3,1,12
2,3,2,43
2,3,3,64
2,3,4,20
2,4,0,208
2,4,1,47
2,4,2,12
2,4,3,12
2,4,4,753
3,0,0,5142
3,0,1,145
3,0,2,44
3,0,3,34
3,0,4,59
3,1,0,411
3,1,1,957
3,1,2,107
3,1,3,6
3,1,4,39
3,2,0,445
3,2,1,223
3,2,2,782
3,2,3,5
3,2,4,21
3,3,0,196
3,3,1,22
3,3,2,32
3,3,3,58
3,3,4,16
3,4,0,200
3,4,1,79
3,4,2,4
3,4,3,8
3,4,4,741
4,0,0,5100
4,0,1,108
4,0,2,93
4,0,3,103
4,0,4,20
4,1,0,411
4,1,1,831
4,1,2,250
4,1,3,24
4,1,4,4
4,2,0,374
4,2,1,66
4,2,2,1011
4,2,3,25
4,2,4,0
4,3,0,142
4,3,1,8
4,3,2,32
4,3,3,142
4,3,4,0
4,4,0,263
4,4,1,60
4,4,2,16
4,4,3,32
4,4,4,661
5,0,0,4887
5,0,1,58
5,0,2,339
5,0,3,62
5,0,4,78
5,1,0,354
5,1,1,704
5,1,2,375
5,1,3,12
5,1,4,75
5,2,0,196
5,2,1,11
5,2,2,1246
5,2,3,10
5,2,4,13
5,3,0,150
5,3,1,0
5,3,2,83
5,3,3,79
5,3,4,12
5,4,0,182
5,4,1,32
5,4,2,28
5,4,3,4
5,4,4,786
6,0,0,4989
6,0,1,108
6,0,2,184
6,0,3,123
6,0,4,20
6,1,0,364
6,1,1,866
6,1,2,259
6,1,3,27
6,1,4,4
6,2,0,274
6,2,1,38
6,2,2,1146
6,2,3,18
6,2,4,0
6,3,0,132
6,3,1,8
6,3,2,56
6,3,3,128
6,3,4,0
6,4,0,196
6,4,1,87
6,4,2,28
6,4,3,20
6,4,4,701
7,0,0,5036
7,0,1,122
7,0,2,171
7,0,3,66
7,0,4,29
7,1,0,337
7,1,1,942
7,1,2,216
7,1,3,4
7,1,4,21
7,2,0,267
7,2,1,70
7,2,2,1123
7,2,3,4
7,2,4,12
7,3,0,171
7,3,1,18
7,3,2,60
7,3,3,75
7,3,4,0
7,4,0,205
7,4,1,74
7,4,2,24
7,4,3,11
7,4,4,718
8,0,0,4908
8,0,1,196
8,0,2,133
8,0,3,82
8,0,4,105
8,1,0,277
8,1,1,1070
8,1,2,116
8,1,3,15
8,1,4,42
8,2,0,281
8,2,1,188
8,2,2,966
8,2,3,14
8,2,4,27
8,3,0,155
8,3,1,15
8,3,2,42
8,3,3,98
8,3,4,14
8,4,0,137
8,4,1,79
8,4,2,12
8,4,3,17
8,4,4,787
9,0,0,5040
9,0,1,70
9,0,2,137
9,0,3,114
9,0,4,63
9,1,0,338
9,1,1,921
9,1,2,186
9,1,3,28
9,1,4,47
9,2,0,282
9,2,1,52
9,2,2,1114
9,2,3,8
9,2,4,20
9,3,0,144
9,3,1,14
9,3,2,52
9,3,3,110
9,3,4,4
9,4,0,198
9,4,1,39
9,4,2,24
9,4,3,23
9,4,4,748
10,0,0,5009
10,0,1,264
10,0,2,108
10,0,3,27
10,0,4,16
10,1,0,262
10,1,1,1123
10,1,2,126
10,1,3,1
10,1,4,8
10,2,0,355
10,2,1,159
10,2,2,951
10,2,3,6
10,2,4,5
10,3,0,179
10,3,1,29
10,3,2,51
10,3,3,65
10,3,4,0
10,4,0,221
10,4,1,112
10,4,2,21
10,4,3,12
10,4,4,666
11,0,0,4868
11,0,1,192
11,0,2,252
11,0,3,82
11,0,4,30
11,1,0,295
11,1,1,1003
11,1,2,206
11,1,3,4
11,1,4,12
11,2,0,207
11,2,1,80
11,2,2,1177
11,2,3,8
11,2,4,4
11,3,0,137
11,3,1,28
11,3,2,62
11,3,3,93
11,3,4,4
11,4,0,195
11,4,1,89
11,4,2,32
11,4,3,11
11,4,4,705
12,0,0,4694
12,0,1,240
12,0,2,309
12,0,3,102
12,0,4,79
12,1,0,229
12,1,1,1040
12,1,2,206
12,1,3,8
12,1,4,37
12,2,0,208
12,2,1,104
12,2,2,1135
12,2,3,4
12,2,4,25
12,3,0,121
12,3,1,29
12,3,2,70
12,3,3,96
12,3,4,8
12,4,0,145
12,4,1,57
12,4,2,27
12,4,3,10
12,4,4,793
13,0,0,5105
13,0,1,117
13,0,2,73
13,0,3,92
13,0,4,37
13,1,0,343
13,1,1,994
13,1,2,141
13,1,3,20
13,1,4,22
13,2,0,417
13,2,1,102
13,2,2,924
13,2,3,12
13,2,4,21
13,3,0,151
13,3,1,19
13,3,2,39
13,3,3,111
13,3,4,4
13,4,0,196
13,4,1,64
13,4,2,15
13,4,3,24
13,4,4,733
14,0,0,5082
14,0,1,144
14,0,2,156
14,0,3,14
14,0,4,28
14,1,0,289
14,1,1,1012
14,1,2,186
14,1,3,4
14,1,4,29
14,2,0,315
14,2,1,69
14,2,2,1086
14,2,3,0
14,2,4,6
14,3,0,187
14,3,1,23
14,3,2,76
14,3,3,38
14,3,4,0
14,4,0,206
14,4,1,70
14,4,2,24
14,4,3,8
14,4,4,724
15,0,0,4967
15,0,1,213
15,0,2,138
15,0,3,66
15,0,4,40
15,1,0,257
15,1,1,1070
15,1,2,163
15,1,3,4
15,1,4,26
15,2,0,346
15,2,1,90
15,2,2,1007
15,2,3,4
15,2,4,29
15,3,0,156
15,3,1,24
15,3,2,48
15,3,3,90
15,3,4,6
15,4,0,203
15,4,1,91
15,4,2,10
15,4,3,4
15,4,4,724
