round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.8767,0.7632,0.5393,0.0000,0.3246
2,0.9504,0.6059,0.7093,0.1019,0.5407
3,0.9495,0.5809,0.7019,0.1944,0.7287
4,0.9121,0.6520,0.8042,0.1852,0.5669
5,0.9338,0.6118,0.7669,0.2623,0.5940
6,0.9768,0.4349,0.6070,0.1636,0.6841
7,0.9139,0.7776,0.6280,0.2593,0.6240
8,0.9320,0.7434,0.5474,0.4136,0.5998
9,0.9650,0.5039,0.6335,0.1451,0.6928
10,0.9373,0.5046,0.7439,0.3889,0.7461
11,0.9106,0.7921,0.5820,0.3735,0.5979
12,0.9591,0.5586,0.6524,0.2438,0.6967
13,0.9349,0.5757,0.7256,0.5000,0.6260
14,0.9261,0.6243,0.7486,0.3333,0.7161
15,0.8641,0.7987,0.6409,0.4321,0.6948
1,0.9598,0.4757,0.6795,0.0000,0.4516
2,0.9025,0.6099,0.7622,0.1914,0.5572
3,0.9346,0.4895,0.7337,0.2963,0.7471
4,0.9132,0.7020,0.7764,0.1759,0.5533
5,0.9412,0.7151,0.5840,0.2377,0.6047
6,0.9731,0.5007,0.6165,0.2037,0.6085
7,0.9298,0.7099,0.6206,0.4321,0.6676
8,0.8818,0.7553,0.6728,0.5494,0.5891
9,0.9561,0.6257,0.6558,0.1667,0.6938
10,0.9371,0.5289,0.6863,0.4043,0.7442
11,0.9159,0.6039,0.7276,0.5216,0.7306
12,0.9441,0.7309,0.6314,0.2222,0.6357
13,0.9653,0.5211,0.6558,0.2963,0.6405
14,0.9545,0.6414,0.6294,0.2870,0.6589
15,0.9460,0.6204,0.6897,0.3426,0.7442
