round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9336,0.7007,0.3780,0.0000,0.4661
2,0.7642,0.8842,0.2534,0.0000,0.5029
3,0.9709,0.5066,0.5467,0.2068,0.6638
4,0.8927,0.6158,0.7663,0.4074,0.6744
5,0.9316,0.4013,0.8083,0.2531,0.7064
6,0.9338,0.5566,0.6518,0.4753,0.6909
7,0.9475,0.5467,0.7649,0.1481,0.6822
8,0.9546,0.4757,0.6768,0.2623,0.7684
9,0.9399,0.6118,0.7080,0.3086,0.7074
10,0.9347,0.6678,0.6050,0.4290,0.5843
11,0.9143,0.6599,0.7175,0.2778,0.6967
12,0.9231,0.6447,0.7066,0.5031,0.7006
13,0.9648,0.5171,0.5976,0.2377,0.7364
14,0.9211,0.6934,0.7304,0.1636,0.6609
15,0.9322,0.6276,0.6721,0.4167,0.6948
