round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9629,0.5520,0.4729,0.0062,0.5930
2,0.9296,0.5283,0.6714,0.1975,0.7297
3,0.9480,0.6296,0.5298,0.1790,0.7180
4,0.9403,0.5467,0.6850,0.4383,0.6405
5,0.9010,0.4632,0.8442,0.2438,0.7616
6,0.9198,0.5697,0.7764,0.3951,0.6793
7,0.9285,0.6197,0.7608,0.2315,0.6957
8,0.9049,0.7039,0.6545,0.3025,0.7626
9,0.9292,0.6059,0.7547,0.3395,0.7248
10,0.9235,0.7388,0.6443,0.2006,0.6453
11,0.8975,0.6599,0.7974,0.2870,0.6831
12,0.8654,0.6842,0.7690,0.2963,0.7684
13,0.9412,0.6539,0.6260,0.3426,0.7103
14,0.9369,0.6658,0.7358,0.1173,0.7016
15,0.9157,0.7039,0.6822,0.2778,0.7016
