L1_mean,L1_std,L1_rms,L1_ptp,L2_mean,L2_std,L2_rms,L2_ptp,L3_mean,L3_std,L3_rms,L3_ptp,L4_mean,L4_std,L4_rms,L4_ptp,L5_mean,L5_std,L5_rms,L5_ptp,L6_mean,L6_std,L6_rms,L6_ptp,L7_mean,L7_std,L7_rms,L7_ptp,L8_mean,L8_std,L8_rms,L8_ptp,L9_mean,L9_std,L9_rms,L9_ptp,L10_mean,L10_std,L10_rms,L10_ptp,L11_mean,L11_std,L11_rms,L11_ptp,L12_mean,L12_std,L12_rms,L12_ptp,L1_bp_0_5Hz,L1_bp_5_15Hz,L1_bp_15_40Hz,L2_bp_0_5Hz,L2_bp_5_15Hz,L2_bp_15_40Hz,L3_bp_0_5Hz,L3_bp_5_15Hz,L3_bp_15_40Hz,L4_bp_0_5Hz,L4_bp_5_15Hz,L4_bp_15_40Hz,L5_bp_0_5Hz,L5_bp_5_15Hz,L5_bp_15_40Hz,L6_bp_0_5Hz,L6_bp_5_15Hz,L6_bp_15_40Hz,L7_bp_0_5Hz,L7_bp_5_15Hz,L7_bp_15_40Hz,L8_bp_0_5Hz,L8_bp_5_15Hz,L8_bp_15_40Hz,L9_bp_0_5Hz,L9_bp_5_15Hz,L9_bp_15_40Hz,L10_bp_0_5Hz,L10_bp_5_15Hz,L10_bp_15_40Hz,L11_bp_0_5Hz,L11_bp_5_15Hz,L11_bp_15_40Hz,L12_bp_0_5Hz,L12_bp_5_15Hz,L12_bp_15_40Hz,HR_bpm,SDNN_ms,RMSSD_ms,label
0.0015079858,0.0007229996,-0.0007780076,-0.0011130054,0.0012109965,6.995529e-06,-0.0017089996,0.0069989976,-0.0017770005,-0.0040890006,-0.0005570002,0.000831994,0.1090222,0.083223335,0.05872973,0.09238267,0.076967515,0.046862982,0.11311742,0.21422969,0.11783383,0.09541467,0.08920434,0.1019394,0.10903269,0.083226494,0.05873491,0.09238943,0.076977074,0.046862967,0.11313038,0.214344,0.11784728,0.0955023,0.08920616,0.10194286,0.90099996,0.575,0.442,0.697,0.655,0.272,0.846,1.787,1.2379999,0.914,0.627,0.75699997,58.98077,19.545002,4.1133995,36.136707,12.233728,1.7096894,24.691656,2.3955948,0.9653223,41.33664,15.284979,2.663901,32.757233,7.8822923,2.1090128,15.518541,2.4078536,0.30730915,52.806084,30.358658,2.894353,151.72519,104.50213,19.776663,31.134172,29.560493,9.698524,26.829351,18.451902,5.511422,33.27105,17.385052,2.3010416,66.06149,16.121567,1.121056,63.897762,38.715485,64.4636,0
-0.0021810099,-0.00016502624,0.002036996,0.0011790114,-0.0021060111,0.0009299985,-0.00040496505,0.0038360166,0.0065829894,0.003866996,0.0063750097,0.003388999,0.13342775,0.24974498,0.19217949,0.17580245,0.10859623,0.2124215,0.23233838,0.45004964,0.37345445,0.2817716,0.22867458,0.18662642,0.13344562,0.24974523,0.19219041,0.17580652,0.10861667,0.21242343,0.23233855,0.4500662,0.37351242,0.2817981,0.22876339,0.18665715,1.013,1.9480001,1.266,1.388,0.677,1.582,2.135,4.1879997,3.2670002,3.253,2.331,1.598,120.974815,16.058989,4.9562883,459.59085,47.201138,13.686106,320.84006,15.558878,3.3713882,210.52483,27.752617,8.487789,106.20019,4.0035753,0.74249834,359.24704,27.33423,7.2886205,236.61908,116.83228,13.80163,892.7078,444.97043,48.55645,784.79486,249.61592,22.08634,296.15817,106.5012,55.47083,197.25124,83.26967,31.537714,151.4261,55.997047,16.848549,46.979866,110.86242,118.110115,0
-0.0027700001,0.005145004,0.007926998,-0.0012399929,-0.0053270017,0.0065219947,-0.00023700125,0.00065400393,-0.0035730123,0.0003830012,0.0053619975,0.0042389967,0.12119952,0.14438936,0.12405612,0.118018195,0.09920079,0.1199838,0.11632309,0.14764231,0.1662197,0.13956933,0.11064662,0.1008416,0.12123132,0.14448099,0.12430912,0.11802478,0.09934374,0.12016094,0.11632338,0.14764376,0.16625814,0.1395699,0.1107765,0.10093065,0.99100006,1.003,0.661,0.954,0.704,0.58500004,0.93799996,1.4300001,1.791,1.445,1.026,0.833,53.41281,28.3826,7.300719,154.42014,19.04384,3.1976445,143.38768,2.6297724,1.2352656,68.2065,23.039911,4.9338202,59.975723,10.72243,3.4669352,135.06087,3.731292,0.39143872,59.225266,24.56984,5.379999,63.785206,37.580605,15.769767,85.686325,42.991753,20.631563,54.899635,38.583633,12.288759,43.84827,24.433802,5.922223,49.39528,17.514938,3.458252,70.13815,207.23724,243.74167,0
-0.003263996,0.003501991,0.006750007,-0.00012099004,-0.005000981,0.00512,-0.00078800163,-0.0033799987,-0.001966003,-0.008309998,-0.0073799854,-0.0040609697,0.13780256,0.43816054,0.40984023,0.25213912,0.21342348,0.41843924,0.18206717,0.42130873,0.54839456,0.54775107,0.3946944,0.29791236,0.1378412,0.43817443,0.40989563,0.25213906,0.21348208,0.41847074,0.18206884,0.42132232,0.54839814,0.5478142,0.39476353,0.2979401,1.079,3.036,2.621,1.857,1.4419999,2.7600002,1.261,3.309,4.115,5.189,3.49,2.435,83.45218,34.729042,7.420029,1492.4606,147.61607,26.305052,1421.6758,92.01589,14.715789,433.25916,68.21061,13.180607,380.05234,26.483208,4.498056,1434.8628,111.11855,18.654455,209.8007,53.804913,2.785612,736.16595,389.79718,51.659737,1439.2562,586.7897,78.80711,906.90875,596.21075,179.10378,555.77924,299.3075,80.65114,388.86102,158.22353,36.443855,75.23511,69.56031,77.927704,0
-0.003769,-0.003054002,0.00070400204,0.003409979,-0.0022149954,-0.0011770262,0.0016899869,2.3997798e-05,-0.00052999466,0.0021409767,0.00020799476,-5.30051e-05,0.08270639,0.23678097,0.19016567,0.14982192,0.086646765,0.21054968,0.14218302,0.34190544,0.20601189,0.23419626,0.21090364,0.18020931,0.08279228,0.23680077,0.19016698,0.1498607,0.086675055,0.21055295,0.14219312,0.34190544,0.20601268,0.23420623,0.21090387,0.18020935,0.707,1.912,1.531,1.147,0.712,1.721,1.208,2.797,1.704,2.026,1.6800001,1.418,29.845444,11.411656,3.178455,337.28918,75.52963,14.353094,229.91913,46.173065,7.7883205,126.3494,31.962915,6.820874,45.69774,9.935336,1.9017265,275.5594,57.936855,10.272006,86.65597,43.91225,5.50898,474.49454,251.56552,37.956123,198.19006,67.50984,17.954271,218.38622,99.26152,26.100574,180.523,83.81291,19.222574,127.136055,65.29758,13.3343525,66.15215,72.42621,92.19544,0
-0.0001780141,0.0022850125,0.0024770056,-0.001053994,-0.0013060104,0.0024009948,-0.000821002,0.00015299389,-0.006895006,0.0014160005,-0.00017100087,-0.003928996,0.13168351,0.17895944,0.14229472,0.1400807,0.10382168,0.14750184,0.3914597,0.42452455,0.23813763,0.203962,0.20909117,0.20625807,0.13168374,0.17897402,0.1423164,0.1400847,0.10382989,0.14752144,0.39146045,0.42452475,0.23823757,0.20396696,0.20909144,0.20629556,0.97300005,1.651,1.166,1.2249999,0.638,1.284,2.761,3.065,1.951,2.035,2.133,1.767,90.486435,24.818073,6.6109495,56.29424,78.834366,21.012325,109.2683,28.314547,7.019416,46.017212,44.787132,12.054226,85.73449,6.84783,1.5625116,59.91202,47.30225,12.350309,1263.5946,89.82937,17.701736,693.58575,394.65207,63.735535,224.90367,105.41416,26.414177,115.44537,79.20027,28.102669,72.81114,96.568886,33.801018,76.15281,99.69259,29.766718,83.04498,52.245052,64.59665,0
-0.00023900613,0.0022459992,0.0024950027,-0.0011539927,-0.0013099978,0.0022769966,-0.0014489968,0.00072399946,-0.0028919913,-0.0039059985,-0.0017959954,0.0017670047,0.25502756,0.11078734,0.20439014,0.16787598,0.22431874,0.10362493,0.1488576,0.20346612,0.21251394,0.20356655,0.22402209,0.20775822,0.2550277,0.11081007,0.20440556,0.1678799,0.22432292,0.10364999,0.14886463,0.20346753,0.2125338,0.20360391,0.22402927,0.20776574,1.9330001,1.0929999,1.822,1.3759999,1.772,1.154,1.145,1.484,2.099,2.2129998,2.405,2.1209998,208.27032,170.03867,20.340523,26.69423,31.228714,6.7025948,124.1998,108.68063,15.128244,86.270294,73.39992,9.738419,159.46074,131.48859,16.064114,23.239992,27.390118,5.825037,74.04166,58.194168,6.1732244,193.4788,89.06131,8.203678,180.91371,99.00855,14.381837,56.261086,113.61903,26.160406,51.452835,135.6045,35.796272,69.69398,112.43958,27.348814,61.997704,33.08239,39.843445,0
0.0023209967,0.004548011,0.002234002,-0.003488973,2.6494265e-08,0.0033520383,0.00023200292,-0.00027399985,-0.0017509845,-0.0065759835,0.003471013,0.0020650201,0.16871968,0.3398862,0.34594935,0.20525488,0.21276172,0.33219656,0.20360121,0.4218844,0.3666226,0.27580354,0.22576673,0.18664487,0.16873573,0.3399166,0.3459565,0.20528448,0.21276173,0.3322134,0.20360164,0.42188397,0.36662656,0.2758819,0.22579361,0.18665645,1.245,1.448,1.675,1.334,1.431,1.106,1.3499999,3.4499998,3.053,2.575,2.08,1.547,102.61467,52.538254,15.308793,1112.8907,13.394148,3.159694,1134.6431,16.159426,5.832007,324.72375,28.901888,7.7715397,341.19366,30.984392,9.77803,1096.8217,1.6394409,0.6658867,261.6636,67.05794,3.7012987,938.83765,295.29044,49.727924,620.7037,224.38805,54.79432,301.06647,129.57568,40.232735,221.909,79.12321,25.934853,183.7737,46.276722,14.408391,93.75,236.05736,249.26044,1
-0.0028300118,-0.004511017,-0.0016550036,0.0037460017,-0.00051499816,-0.0030200013,0.001675993,-0.0004230016,-0.005918999,-0.0028100081,-0.0022830123,0.0008430004,0.088689126,0.11514368,0.07258352,0.09619107,0.05697706,0.0852329,0.17967032,0.35844105,0.28585532,0.21777998,0.162555,0.11685586,0.08873422,0.115232006,0.072602354,0.096264005,0.056979425,0.08528642,0.17967832,0.35844085,0.2859165,0.21779822,0.162571,0.11685885,0.70500004,0.81700003,0.579,0.699,0.489,0.65900004,1.748,3.738,2.934,2.005,1.246,0.79800004,54.404087,6.494197,2.2287233,81.09494,20.350876,2.1990175,26.074741,9.777727,1.3750298,61.293114,10.990674,1.8704054,19.895136,3.0509906,1.252695,39.754585,13.400682,1.2263591,86.03173,87.26132,12.371599,256.86472,305.51007,82.73165,203.54158,172.2518,53.676,167.8676,96.6533,22.525211,122.44363,50.431694,8.1413,71.91578,24.996023,2.9140308,60.948082,37.453674,28.939592,0
-0.0037539974,0.003178029,0.0069419583,0.00029900152,-0.005299,0.0050930274,-0.0030719882,-0.004308021,-0.0040509924,0.0065699853,0.0017689983,0.0044949977,0.112757586,0.25177327,0.2086884,0.16496503,0.11097978,0.22404006,0.17162804,0.2870127,0.1569975,0.21758817,0.19542088,0.18369877,0.11282005,0.25179338,0.20880388,0.16496524,0.11110628,0.22409806,0.17165555,0.28704506,0.1570497,0.21768735,0.19542898,0.18375373,0.70600003,1.5569999,1.085,1.045,0.565,1.32,1.4909999,2.2280002,0.883,1.6489999,1.486,1.4089999,67.10354,23.92169,2.4390063,497.30957,49.272114,7.60007,410.12198,7.5448318,2.1397867,180.13953,34.720543,4.4863873,114.60642,3.405792,0.3899776,436.0908,22.39106,4.250648,117.154915,62.63194,10.454423,413.84167,149.94666,22.059963,173.8551,27.866365,3.2760658,223.32256,89.970665,13.930033,172.16562,74.473946,12.061984,146.90671,67.93566,10.965694,67.49156,92.189415,111.85308,0
