client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,1,0.5606,1.5873,16,1,1.52,15941,post_cv
2,1,0.7060,0.8975,0,0,17.08,159333,post_cv
1,1,0.7072,0.9591,0,0,42.44,159333,post_cv
0,1,0.7474,0.7064,0,0,50.27,159333,post_cv
GLOBAL,1,0.7205,0.7991,,,,,post_cv
3,2,0.7458,0.7639,14,1,1.32,77861,post_cv
2,2,0.6957,0.7963,0,0,16.26,159333,post_cv
1,2,0.7470,0.7235,0,0,44.60,159333,post_cv
0,2,0.7433,0.6964,0,0,53.65,159333,post_cv
GLOBAL,2,0.7965,0.5998,,,,,post_cv
3,3,0.7717,0.6467,12,1,1.40,78117,post_cv
2,3,0.7474,0.7007,0,0,16.35,159333,post_cv
1,3,0.7146,0.8038,0,0,41.68,159333,post_cv
0,3,0.7795,0.6381,0,0,50.05,159333,post_cv
GLOBAL,3,0.7985,0.5725,,,,,post_cv
3,4,0.7733,0.6894,10,1,1.31,115109,post_cv
2,4,0.7577,0.6964,0,0,16.56,159333,post_cv
1,4,0.7651,0.8901,0,0,41.16,159333,post_cv
0,4,0.7565,0.6666,0,0,49.83,159333,post_cv
GLOBAL,4,0.8095,0.5680,,,,,post_cv
3,5,0.7828,0.6657,9,1,1.40,115301,post_cv
2,5,0.7540,0.7110,0,0,15.93,159333,post_cv
1,5,0.7421,0.8219,0,0,41.65,159333,post_cv
0,5,0.7807,0.6099,0,0,49.75,159333,post_cv
GLOBAL,5,0.8050,0.5735,,,,,post_cv
3,6,0.7696,0.7211,7,1,1.44,146117,post_cv
2,6,0.7618,0.7577,0,0,16.41,159333,post_cv
1,6,0.7220,0.7776,0,0,41.49,159333,post_cv
0,6,0.7766,0.6293,0,0,48.83,159333,post_cv
GLOBAL,6,0.7952,0.5764,,,,,post_cv
3,7,0.7889,0.6529,6,1,1.46,146117,post_cv
2,7,0.7651,0.8152,0,0,16.02,159333,post_cv
1,7,0.7306,0.8207,0,0,40.00,159333,post_cv
0,7,0.7828,0.6256,0,0,48.19,159333,post_cv
GLOBAL,7,0.8174,0.5598,,,,,post_cv
3,8,0.7741,0.7164,3,1,1.48,156549,post_cv
2,8,0.7688,0.7377,0,0,16.18,159333,post_cv
1,8,0.7347,1.1443,0,0,42.17,159333,post_cv
0,8,0.7840,0.6772,0,0,49.91,159333,post_cv
GLOBAL,8,0.7952,0.6681,,,,,post_cv
3,9,0.7725,0.7755,2,1,1.40,156549,post_cv
2,9,0.7232,0.8464,0,0,16.03,159333,post_cv
1,9,0.6497,1.1846,0,0,40.11,159333,post_cv
0,9,0.7758,0.6701,0,0,48.54,159333,post_cv
GLOBAL,9,0.7997,0.5875,,,,,post_cv
3,10,0.7622,0.7459,1,1,1.72,156613,post_cv
2,10,0.7351,0.7987,1,1,16.05,156613,post_cv
1,10,0.6990,0.9321,1,1,39.51,156613,post_cv
