round,true,pred,count
1,0,0,5343
1,0,1,16
1,0,2,65
1,0,3,0
1,0,4,0
1,1,0,735
1,1,1,524
1,1,2,261
1,1,3,0
1,1,4,0
1,2,0,579
1,2,1,44
1,2,2,853
1,2,3,0
1,2,4,0
1,3,0,235
1,3,1,4
1,3,2,85
1,3,3,0
1,3,4,0
1,4,0,480
1,4,1,186
1,4,2,42
1,4,3,0
1,4,4,324
2,0,0,5148
2,0,1,59
2,0,2,142
2,0,3,20
2,0,4,55
2,1,0,422
2,1,1,844
2,1,2,200
2,1,3,4
2,1,4,50
2,2,0,315
2,2,1,78
2,2,2,1059
2,2,3,4
2,2,4,20
2,3,0,196
2,3,1,5
2,3,2,83
2,3,3,28
2,3,4,12
2,4,0,239
2,4,1,53
2,4,2,31
2,4,3,1
2,4,4,708
3,0,0,5056
3,0,1,75
3,0,2,194
3,0,3,63
3,0,4,36
3,1,0,405
3,1,1,873
3,1,2,214
3,1,3,4
3,1,4,24
3,2,0,273
3,2,1,78
3,2,2,1112
3,2,3,5
3,2,4,8
3,3,0,197
3,3,1,4
3,3,2,64
3,3,3,59
3,3,4,0
3,4,0,221
3,4,1,69
3,4,2,24
3,4,3,12
3,4,4,706
4,0,0,5101
4,0,1,121
4,0,2,148
4,0,3,18
4,0,4,36
4,1,0,340
4,1,1,1006
4,1,2,146
4,1,3,4
4,1,4,24
4,2,0,291
4,2,1,105
4,2,2,1062
4,2,3,10
4,2,4,8
4,3,0,212
4,3,1,22
4,3,2,49
4,3,3,41
4,3,4,0
4,4,0,244
4,4,1,60
4,4,2,20
4,4,3,4
4,4,4,704
5,0,0,5022
5,0,1,58
5,0,2,233
5,0,3,81
5,0,4,30
5,1,0,398
5,1,1,865
5,1,2,228
5,1,3,16
5,1,4,13
5,2,0,234
5,2,1,40
5,2,2,1186
5,2,3,16
5,2,4,0
5,3,0,151
5,3,1,0
5,3,2,67
5,3,3,106
5,3,4,0
5,4,0,241
5,4,1,48
5,4,2,35
5,4,3,17
5,4,4,691
6,0,0,5158
6,0,1,40
6,0,2,67
6,0,3,64
6,0,4,95
6,1,0,469
6,1,1,782
6,1,2,172
6,1,3,9
6,1,4,88
6,2,0,435
6,2,1,37
6,2,2,945
6,2,3,18
6,2,4,41
6,3,0,212
6,3,1,4
6,3,2,28
6,3,3,68
6,3,4,12
6,4,0,160
6,4,1,28
6,4,2,15
6,4,3,8
6,4,4,821
7,0,0,5049
7,0,1,85
7,0,2,148
7,0,3,113
7,0,4,29
7,1,0,324
7,1,1,995
7,1,2,181
7,1,3,8
7,1,4,12
7,2,0,263
7,2,1,52
7,2,2,1138
7,2,3,17
7,2,4,6
7,3,0,136
7,3,1,16
7,3,2,61
7,3,3,111
7,3,4,0
7,4,0,219
7,4,1,70
7,4,2,31
7,4,3,14
7,4,4,698
8,0,0,5223
8,0,1,9
8,0,2,124
8,0,3,28
8,0,4,40
8,1,0,521
8,1,1,669
8,1,2,277
8,1,3,2
8,1,4,51
8,2,0,353
8,2,1,12
8,2,2,1091
8,2,3,8
8,2,4,12
8,3,0,220
8,3,1,2
8,3,2,54
8,3,3,36
8,3,4,12
8,4,0,234
8,4,1,26
8,4,2,16
8,4,3,1
8,4,4,755
9,0,0,5017
9,0,1,87
9,0,2,65
9,0,3,66
9,0,4,189
9,1,0,335
9,1,1,987
9,1,2,96
9,1,3,12
9,1,4,90
9,2,0,453
9,2,1,79
9,2,2,886
9,2,3,8
9,2,4,50
9,3,0,200
9,3,1,12
9,3,2,24
9,3,3,68
9,3,4,20
9,4,0,127
9,4,1,28
9,4,2,12
9,4,3,5
9,4,4,860
10,0,0,4732
10,0,1,314
10,0,2,244
10,0,3,58
10,0,4,76
10,1,0,166
10,1,1,1175
10,1,2,125
10,1,3,6
10,1,4,48
10,2,0,196
10,2,1,143
10,2,2,1109
10,2,3,8
10,2,4,20
10,3,0,161
10,3,1,23
10,3,2,70
10,3,3,54
10,3,4,16
10,4,0,158
10,4,1,72
10,4,2,16
10,4,3,4
10,4,4,782
11,0,0,5284
11,0,1,8
11,0,2,55
11,0,3,52
11,0,4,25
11,1,0,547
11,1,1,712
11,1,2,211
11,1,3,9
11,1,4,41
11,2,0,545
11,2,1,8
11,2,2,901
11,2,3,14
11,2,4,8
11,3,0,220
11,3,1,4
11,3,2,24
11,3,3,68
11,3,4,8
11,4,0,289
11,4,1,14
11,4,2,14
11,4,3,0
11,4,4,715
12,0,0,5233
12,0,1,29
12,0,2,48
12,0,3,66
12,0,4,48
12,1,0,532
12,1,1,770
12,1,2,147
12,1,3,12
12,1,4,59
12,2,0,538
12,2,1,16
12,2,2,894
12,2,3,20
12,2,4,8
12,3,0,196
12,3,1,4
12,3,2,20
12,3,3,93
12,3,4,11
12,4,0,228
12,4,1,32
12,4,2,12
12,4,3,0
12,4,4,760
13,0,0,4832
13,0,1,251
13,0,2,234
13,0,3,51
13,0,4,56
13,1,0,223
13,1,1,1062
13,1,2,219
13,1,3,0
13,1,4,16
13,2,0,225
13,2,1,48
13,2,2,1195
13,2,3,8
13,2,4,0
13,3,0,170
13,3,1,16
13,3,2,81
13,3,3,49
13,3,4,8
13,4,0,180
13,4,1,89
13,4,2,40
13,4,3,1
13,4,4,722
14,0,0,4839
14,0,1,104
14,0,2,229
14,0,3,174
14,0,4,78
14,1,0,305
14,1,1,911
14,1,2,232
14,1,3,20
14,1,4,52
14,2,0,230
14,2,1,38
14,2,2,1167
14,2,3,32
14,2,4,9
14,3,0,101
14,3,1,12
14,3,2,36
14,3,3,158
14,3,4,17
14,4,0,154
14,4,1,30
14,4,2,45
14,4,3,17
14,4,4,786
15,0,0,5014
15,0,1,44
15,0,2,158
15,0,3,99
15,0,4,109
15,1,0,407
15,1,1,789
15,1,2,232
15,1,3,25
15,1,4,67
15,2,0,357
15,2,1,19
15,2,2,1061
15,2,3,28
15,2,4,11
15,3,0,171
15,3,1,0
15,3,2,35
15,3,3,110
15,3,4,8
15,4,0,181
15,4,1,20
15,4,2,30
15,4,3,10
15,4,4,791
1,0,0,5233
1,0,1,117
1,0,2,60
1,0,3,0
1,0,4,14
1,1,0,497
1,1,1,897
1,1,2,114
1,1,3,0
1,1,4,12
1,2,0,461
1,2,1,328
1,2,2,683
1,2,3,0
1,2,4,4
1,3,0,260
1,3,1,23
1,3,2,41
1,3,3,0
1,3,4,0
1,4,0,362
1,4,1,192
1,4,2,8
1,4,3,0
1,4,4,470
2,0,0,5170
2,0,1,60
2,0,2,147
2,0,3,19
2,0,4,28
2,1,0,393
2,1,1,905
2,1,2,199
2,1,3,4
2,1,4,19
2,2,0,311
2,2,1,134
2,2,2,1019
2,2,3,4
2,2,4,8
2,3,0,217
2,3,1,4
2,3,2,68
2,3,3,35
2,3,4,0
2,4,0,297
2,4,1,114
2,4,2,14
2,4,3,1
2,4,4,606
3,0,0,5139
3,0,1,90
3,0,2,107
3,0,3,52
3,0,4,36
3,1,0,384
3,1,1,925
3,1,2,166
3,1,3,8
3,1,4,37
3,2,0,325
3,2,1,139
3,2,2,986
3,2,3,18
3,2,4,8
3,3,0,174
3,3,1,4
3,3,2,52
3,3,3,90
3,3,4,4
3,4,0,247
3,4,1,88
3,4,2,12
3,4,3,16
3,4,4,669
4,0,0,5224
4,0,1,33
4,0,2,57
4,0,3,66
4,0,4,44
4,1,0,515
4,1,1,781
4,1,2,146
4,1,3,20
4,1,4,58
4,2,0,469
4,2,1,64
4,2,2,895
4,2,3,28
4,2,4,20
4,3,0,168
4,3,1,0
4,3,2,24
4,3,3,116
4,3,4,16
4,4,0,227
4,4,1,41
4,4,2,16
4,4,3,16
4,4,4,732
5,0,0,5138
5,0,1,192
5,0,2,62
5,0,3,15
5,0,4,17
5,1,0,317
5,1,1,1098
5,1,2,96
5,1,3,4
5,1,4,5
5,2,0,386
5,2,1,235
5,2,2,840
5,2,3,7
5,2,4,8
5,3,0,220
5,3,1,16
5,3,2,49
5,3,3,35
5,3,4,4
5,4,0,261
5,4,1,116
5,4,2,12
5,4,3,0
5,4,4,643
6,0,0,5178
6,0,1,110
6,0,2,80
6,0,3,36
6,0,4,20
6,1,0,352
6,1,1,1003
6,1,2,154
6,1,3,4
6,1,4,7
6,2,0,373
6,2,1,91
6,2,2,995
6,2,3,9
6,2,4,8
6,3,0,182
6,3,1,16
6,3,2,63
6,3,3,55
6,3,4,8
6,4,0,286
6,4,1,87
6,4,2,20
6,4,3,0
6,4,4,639
7,0,0,5146
7,0,1,16
7,0,2,187
7,0,3,30
7,0,4,45
7,1,0,464
7,1,1,642
7,1,2,361
7,1,3,10
7,1,4,43
7,2,0,302
7,2,1,0
7,2,2,1168
7,2,3,4
7,2,4,2
7,3,0,189
7,3,1,0
7,3,2,80
7,3,3,43
7,3,4,12
7,4,0,240
7,4,1,32
7,4,2,35
7,4,3,0
7,4,4,725
8,0,0,4706
8,0,1,222
8,0,2,291
8,0,3,65
8,0,4,140
8,1,0,211
8,1,1,1084
8,1,2,160
8,1,3,6
8,1,4,59
8,2,0,164
8,2,1,99
8,2,2,1180
8,2,3,5
8,2,4,28
8,3,0,127
8,3,1,20
8,3,2,83
8,3,3,74
8,3,4,20
8,4,0,123
8,4,1,55
8,4,2,22
8,4,3,4
8,4,4,828
9,0,0,5173
9,0,1,59
9,0,2,99
9,0,3,72
9,0,4,21
9,1,0,410
9,1,1,926
9,1,2,168
9,1,3,16
9,1,4,0
9,2,0,376
9,2,1,47
9,2,2,1034
9,2,3,19
9,2,4,0
9,3,0,155
9,3,1,15
9,3,2,35
9,3,3,119
9,3,4,0
9,4,0,253
9,4,1,127
9,4,2,24
9,4,3,9
9,4,4,619
10,0,0,5157
10,0,1,56
10,0,2,125
10,0,3,13
