round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9851,0.3447,0.5779,0.0000,0.3140
2,0.9491,0.5553,0.7175,0.0864,0.6860
3,0.9322,0.5743,0.7534,0.1821,0.6841
4,0.9404,0.6618,0.7195,0.1265,0.6822
5,0.9259,0.5691,0.8035,0.3272,0.6696
6,0.9510,0.5145,0.6402,0.2099,0.7955
7,0.9309,0.6546,0.7710,0.3426,0.6764
8,0.9629,0.4401,0.7392,0.1111,0.7316
9,0.9250,0.6493,0.6003,0.2099,0.8333
10,0.8724,0.7730,0.7514,0.1667,0.7578
11,0.9742,0.4684,0.6104,0.2099,0.6928
12,0.9648,0.5066,0.6057,0.2870,0.7364
13,0.8909,0.6987,0.8096,0.1512,0.6996
14,0.8921,0.5993,0.7907,0.4877,0.7616
15,0.9244,0.5191,0.7188,0.3395,0.7665
1,0.9648,0.5901,0.4627,0.0000,0.4554
2,0.9532,0.5954,0.6904,0.1080,0.5872
3,0.9475,0.6086,0.6680,0.2778,0.6483
4,0.9631,0.5138,0.6064,0.3580,0.7093
5,0.9473,0.7224,0.5691,0.1080,0.6231
6,0.9546,0.6599,0.6741,0.1698,0.6192
7,0.9487,0.4224,0.7913,0.1327,0.7025
8,0.8676,0.7132,0.7995,0.2284,0.8023
9,0.9537,0.6092,0.7005,0.3673,0.5998
10,0.9508,0.5855,0.7182,0.0988,0.7374
11,0.9589,0.6934,0.6355,0.1358,0.6143
12,0.9421,0.6743,0.6978,0.3056,0.7016
13,0.9285,0.5934,0.8083,0.1327,0.6211
14,0.9239,0.7487,0.6633,0.1605,0.6773
15,0.8824,0.7336,0.7344,0.2747,0.7636
