client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,1,0.1692,1.5820,1,1,8.01,164421,tuned
2,1,0.5852,1.1740,0,0,139.02,164421,tuned
1,1,0.6209,1.0992,0,0,300.15,164421,tuned
0,1,0.6637,0.9839,0,0,353.29,164421,tuned
GLOBAL,1,0.6019,1.1213,,,,,tuned
3,2,0.5963,1.0819,1,1,6.09,164421,tuned
2,2,0.6620,0.9657,0,0,132.96,164421,tuned
1,2,0.6830,0.8691,0,0,305.18,164421,tuned
0,2,0.6756,0.9321,0,0,367.32,164421,tuned
GLOBAL,2,0.7072,0.8071,,,,,tuned
3,3,0.7051,0.8267,1,1,6.13,164421,tuned
2,3,0.7047,0.8130,0,0,133.79,164421,tuned
1,3,0.7462,0.7409,0,0,308.33,164421,tuned
0,3,0.7491,0.7444,0,0,367.65,164421,tuned
GLOBAL,3,0.7621,0.6934,,,,,tuned
3,4,0.7462,0.7686,1,1,6.45,164421,tuned
2,4,0.7363,0.7552,0,0,136.70,164421,tuned
1,4,0.7474,0.7430,0,0,288.38,164421,tuned
0,4,0.7454,0.7303,0,0,350.27,164421,tuned
GLOBAL,4,0.7792,0.6527,,,,,tuned
3,5,0.7593,0.7230,1,1,7.26,164421,tuned
2,5,0.7540,0.7168,0,0,130.78,164421,tuned
1,5,0.7729,0.6803,0,0,282.98,164421,tuned
0,5,0.7462,0.7316,0,0,339.75,164421,tuned
GLOBAL,5,0.7831,0.6390,,,,,tuned
3,6,0.7589,0.7058,0,0,5.67,164421,tuned
2,6,0.7651,0.6832,0,0,123.53,164421,tuned
1,6,0.7770,0.6507,0,0,280.19,164421,tuned
0,6,0.7680,0.6650,0,0,339.39,164421,tuned
GLOBAL,6,0.7901,0.5895,,,,,tuned
3,7,0.7754,0.6848,0,0,6.12,164421,tuned
2,7,0.7585,0.6985,0,0,118.63,164421,tuned
1,7,0.7823,0.6522,0,0,271.39,164421,tuned
