round,true,pred,count
1,0,0,5377
1,0,1,37
1,0,2,0
1,0,3,0
1,0,4,10
1,1,0,1186
1,1,1,297
1,1,2,10
1,1,3,0
1,1,4,27
1,2,0,1331
1,2,1,129
1,2,2,4
1,2,3,0
1,2,4,12
1,3,0,295
1,3,1,17
1,3,2,4
1,3,3,0
1,3,4,8
1,4,0,663
1,4,1,64
1,4,2,0
1,4,3,0
1,4,4,305
2,0,0,5222
2,0,1,71
2,0,2,119
2,0,3,0
2,0,4,12
2,1,0,685
2,1,1,442
2,1,2,345
2,1,3,0
2,1,4,48
2,2,0,520
2,2,1,123
2,2,2,821
2,2,3,0
2,2,4,12
2,3,0,252
2,3,1,15
2,3,2,41
2,3,3,0
2,3,4,16
2,4,0,492
2,4,1,108
2,4,2,44
2,4,3,0
2,4,4,388
3,0,0,4597
3,0,1,395
3,0,2,157
3,0,3,8
3,0,4,267
3,1,0,305
3,1,1,862
3,1,2,118
3,1,3,0
3,1,4,235
3,2,0,235
3,2,1,543
3,2,2,661
3,2,3,4
3,2,4,33
3,3,0,197
3,3,1,20
3,3,2,40
3,3,3,19
3,3,4,48
3,4,0,164
3,4,1,96
3,4,2,21
3,4,3,4
3,4,4,747
4,0,0,5189
4,0,1,28
4,0,2,129
4,0,3,12
4,0,4,66
4,1,0,562
4,1,1,565
4,1,2,263
4,1,3,3
4,1,4,127
4,2,0,407
4,2,1,81
4,2,2,971
4,2,3,0
4,2,4,17
4,3,0,228
4,3,1,0
4,3,2,44
4,3,3,36
4,3,4,16
4,4,0,288
4,4,1,54
4,4,2,26
4,4,3,4
4,4,4,660
5,0,0,4954
5,0,1,106
5,0,2,203
5,0,3,27
5,0,4,134
5,1,0,380
5,1,1,831
5,1,2,190
5,1,3,10
5,1,4,109
5,2,0,273
5,2,1,225
5,2,2,958
5,2,3,0
5,2,4,20
5,3,0,197
5,3,1,4
5,3,2,60
5,3,3,39
5,3,4,24
5,4,0,195
5,4,1,45
5,4,2,32
5,4,3,3
5,4,4,757
6,0,0,5054
6,0,1,111
6,0,2,185
6,0,3,37
6,0,4,37
6,1,0,350
6,1,1,935
6,1,2,183
6,1,3,8
6,1,4,44
6,2,0,320
6,2,1,122
6,2,2,1024
6,2,3,0
6,2,4,10
6,3,0,200
6,3,1,15
6,3,2,77
6,3,3,24
6,3,4,8
6,4,0,260
6,4,1,83
6,4,2,28
6,4,3,4
6,4,4,657
7,0,0,4976
7,0,1,106
7,0,2,168
7,0,3,51
7,0,4,123
7,1,0,341
7,1,1,917
7,1,2,190
7,1,3,8
7,1,4,64
7,2,0,307
7,2,1,78
7,2,2,1059
7,2,3,0
7,2,4,32
7,3,0,188
7,3,1,15
7,3,2,56
7,3,3,49
7,3,4,16
7,4,0,178
7,4,1,56
7,4,2,18
7,4,3,4
7,4,4,776
8,0,0,5042
8,0,1,55
8,0,2,222
8,0,3,65
8,0,4,40
8,1,0,374
8,1,1,805
8,1,2,281
8,1,3,8
8,1,4,52
8,2,0,256
8,2,1,32
8,2,2,1176
8,2,3,0
8,2,4,12
8,3,0,193
8,3,1,5
8,3,2,69
8,3,3,56
8,3,4,1
8,4,0,246
8,4,1,61
8,4,2,28
8,4,3,9
8,4,4,688
9,0,0,5040
9,0,1,66
9,0,2,207
9,0,3,66
9,0,4,45
9,1,0,344
9,1,1,926
9,1,2,218
9,1,3,8
9,1,4,24
9,2,0,288
9,2,1,52
9,2,2,1124
9,2,3,4
9,2,4,8
9,3,0,188
9,3,1,8
9,3,2,56
9,3,3,68
9,3,4,4
9,4,0,222
9,4,1,56
9,4,2,27
9,4,3,12
9,4,4,715
10,0,0,5088
10,0,1,87
10,0,2,139
10,0,3,59
10,0,4,51
10,1,0,296
10,1,1,969
10,1,2,204
10,1,3,11
10,1,4,40
10,2,0,359
10,2,1,58
10,2,2,1044
10,2,3,0
10,2,4,15
10,3,0,197
10,3,1,11
10,3,2,48
10,3,3,60
10,3,4,8
10,4,0,243
10,4,1,42
10,4,2,16
10,4,3,6
10,4,4,725
11,0,0,5005
11,0,1,126
11,0,2,170
11,0,3,83
11,0,4,40
11,1,0,285
11,1,1,1008
