round,true,pred,count
1,0,0,5408
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,16
1,1,0,1513
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,7
1,2,0,1472
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,4
1,3,0,320
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,4
1,4,0,860
1,4,1,2
1,4,2,0
1,4,3,0
1,4,4,170
2,0,0,5370
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,54
2,1,0,1406
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,114
2,2,0,1433
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,43
2,3,0,276
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,48
2,4,0,693
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,339
3,0,0,5392
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,32
3,1,0,1363
3,1,1,47
3,1,2,0
3,1,3,0
3,1,4,110
3,2,0,1418
3,2,1,13
3,2,2,0
3,2,3,0
3,2,4,45
3,3,0,300
3,3,1,4
3,3,2,0
3,3,3,0
3,3,4,20
3,4,0,668
3,4,1,5
3,4,2,0
3,4,3,0
3,4,4,359
4,0,0,5237
4,0,1,163
4,0,2,0
4,0,3,0
4,0,4,24
4,1,0,844
4,1,1,610
4,1,2,0
4,1,3,0
4,1,4,66
4,2,0,978
4,2,1,475
4,2,2,0
4,2,3,0
4,2,4,23
4,3,0,260
4,3,1,48
4,3,2,0
4,3,3,0
4,3,4,16
4,4,0,501
4,4,1,203
4,4,2,0
4,4,3,0
4,4,4,328
5,0,0,5111
5,0,1,286
5,0,2,3
5,0,3,0
5,0,4,24
5,1,0,645
5,1,1,823
5,1,2,1
5,1,3,0
5,1,4,51
5,2,0,683
5,2,1,762
5,2,2,2
5,2,3,0
5,2,4,29
5,3,0,247
5,3,1,52
5,3,2,0
5,3,3,0
5,3,4,25
5,4,0,426
5,4,1,287
5,4,2,0
5,4,3,0
5,4,4,319
6,0,0,5171
6,0,1,199
6,0,2,31
6,0,3,0
6,0,4,23
6,1,0,658
6,1,1,785
6,1,2,25
6,1,3,0
6,1,4,52
6,2,0,650
6,2,1,725
6,2,2,67
6,2,3,0
6,2,4,34
6,3,0,252
6,3,1,33
6,3,2,15
6,3,3,0
6,3,4,24
6,4,0,400
6,4,1,286
6,4,2,3
6,4,3,0
6,4,4,343
7,0,0,5279
7,0,1,43
7,0,2,82
7,0,3,0
7,0,4,20
7,1,0,720
7,1,1,553
7,1,2,158
7,1,3,0
7,1,4,89
7,2,0,827
7,2,1,383
7,2,2,231
7,2,3,0
7,2,4,35
7,3,0,269
7,3,1,10
7,3,2,19
7,3,3,0
7,3,4,26
7,4,0,427
7,4,1,115
7,4,2,31
7,4,3,0
7,4,4,459
8,0,0,5234
8,0,1,65
8,0,2,109
8,0,3,0
8,0,4,16
8,1,0,644
8,1,1,554
8,1,2,203
8,1,3,0
8,1,4,119
8,2,0,652
8,2,1,340
8,2,2,450
8,2,3,0
8,2,4,34
8,3,0,268
8,3,1,5
8,3,2,35
8,3,3,0
8,3,4,16
8,4,0,373
8,4,1,101
8,4,2,16
8,4,3,0
8,4,4,542
9,0,0,5000
9,0,1,109
9,0,2,279
9,0,3,0
9,0,4,36
9,1,0,498
9,1,1,504
9,1,2,414
9,1,3,0
9,1,4,104
9,2,0,479
9,2,1,219
9,2,2,760
9,2,3,0
9,2,4,18
9,3,0,259
9,3,1,8
9,3,2,49
9,3,3,0
9,3,4,8
9,4,0,303
9,4,1,101
9,4,2,44
9,4,3,0
9,4,4,584
10,0,0,5131
10,0,1,53
10,0,2,212
10,0,3,0
10,0,4,28
10,1,0,540
10,1,1,469
10,1,2,434
10,1,3,0
10,1,4,77
10,2,0,417
10,2,1,88
10,2,2,967
10,2,3,0
10,2,4,4
10,3,0,249
10,3,1,4
10,3,2,60
10,3,3,3
10,3,4,8
10,4,0,335
10,4,1,89
10,4,2,44
10,4,3,0
10,4,4,564
11,0,0,5155
11,0,1,59
11,0,2,166
11,0,3,4
11,0,4,40
11,1,0,542
11,1,1,611
11,1,2,273
11,1,3,0
11,1,4,94
11,2,0,408
11,2,1,177
11,2,2,887
11,2,3,0
11,2,4,4
11,3,0,252
11,3,1,8
11,3,2,44
11,3,3,4
11,3,4,16
11,4,0,292
11,4,1,74
11,4,2,16
11,4,3,8
11,4,4,642
12,0,0,5127
12,0,1,92
12,0,2,140
12,0,3,12
12,0,4,53
12,1,0,492
12,1,1,747
12,1,2,180
12,1,3,8
12,1,4,93
12,2,0,425
12,2,1,282
12,2,2,760
12,2,3,1
12,2,4,8
12,3,0,238
12,3,1,16
12,3,2,44
12,3,3,4
12,3,4,22
12,4,0,269
12,4,1,72
12,4,2,15
12,4,3,5
12,4,4,671
13,0,0,5073
13,0,1,104
13,0,2,184
13,0,3,10
13,0,4,53
13,1,0,452
13,1,1,768
13,1,2,197
13,1,3,8
13,1,4,95
13,2,0,375
13,2,1,238
13,2,2,851
13,2,3,4
13,2,4,8
13,3,0,251
13,3,1,5
13,3,2,46
13,3,3,10
13,3,4,12
13,4,0,268
13,4,1,75
13,4,2,20
13,4,3,7
13,4,4,662
14,0,0,4977
14,0,1,131
14,0,2,258
14,0,3,17
14,0,4,41
14,1,0,385
14,1,1,824
14,1,2,231
14,1,3,12
14,1,4,68
14,2,0,290
14,2,1,201
14,2,2,973
14,2,3,8
14,2,4,4
14,3,0,232
14,3,1,4
14,3,2,48
14,3,3,28
14,3,4,12
14,4,0,254
14,4,1,86
14,4,2,28
14,4,3,10
14,4,4,654
15,0,0,4929
15,0,1,197
15,0,2,200
15,0,3,19
15,0,4,79
15,1,0,368
15,1,1,873
15,1,2,162
15,1,3,12
15,1,4,105
15,2,0,339
15,2,1,278
15,2,2,840
15,2,3,8
15,2,4,11
15,3,0,222
15,3,1,12
15,3,2,40
15,3,3,34
15,3,4,16
15,4,0,206
15,4,1,69
15,4,2,8
15,4,3,20
15,4,4,729
