round,true,pred,count
1,0,0,5342
1,0,1,36
1,0,2,21
1,0,3,0
1,0,4,25
1,1,0,1266
1,1,1,169
1,1,2,30
1,1,3,0
1,1,4,55
1,2,0,1320
1,2,1,76
1,2,2,44
1,2,3,0
1,2,4,36
1,3,0,277
1,3,1,4
1,3,2,19
1,3,3,0
1,3,4,24
1,4,0,649
1,4,1,53
1,4,2,1
1,4,3,0
1,4,4,329
2,0,0,5028
2,0,1,78
2,0,2,205
2,0,3,19
2,0,4,94
2,1,0,572
2,1,1,517
2,1,2,238
2,1,3,18
2,1,4,175
2,2,0,393
2,2,1,290
2,2,2,721
2,2,3,15
2,2,4,57
2,3,0,197
2,3,1,13
2,3,2,40
2,3,3,24
2,3,4,50
2,4,0,328
2,4,1,46
2,4,2,22
2,4,3,12
2,4,4,624
3,0,0,5063
3,0,1,83
3,0,2,231
3,0,3,3
3,0,4,44
3,1,0,506
3,1,1,711
3,1,2,224
3,1,3,8
3,1,4,71
3,2,0,351
3,2,1,163
3,2,2,947
3,2,3,4
3,2,4,11
3,3,0,228
3,3,1,4
3,3,2,56
3,3,3,28
3,3,4,8
3,4,0,246
3,4,1,47
3,4,2,38
3,4,3,0
3,4,4,701
4,0,0,5149
4,0,1,64
4,0,2,141
4,0,3,12
4,0,4,58
4,1,0,460
4,1,1,806
4,1,2,186
4,1,3,10
4,1,4,58
4,2,0,459
4,2,1,98
4,2,2,895
4,2,3,8
4,2,4,16
4,3,0,214
4,3,1,12
4,3,2,40
4,3,3,42
4,3,4,16
4,4,0,216
4,4,1,74
4,4,2,13
4,4,3,4
4,4,4,725
5,0,0,5114
5,0,1,48
5,0,2,129
5,0,3,52
5,0,4,81
5,1,0,450
5,1,1,808
5,1,2,181
5,1,3,14
5,1,4,67
5,2,0,435
5,2,1,88
5,2,2,917
5,2,3,8
5,2,4,28
5,3,0,196
5,3,1,8
5,3,2,44
5,3,3,52
5,3,4,24
5,4,0,181
5,4,1,60
5,4,2,12
5,4,3,14
5,4,4,765
6,0,0,4964
6,0,1,139
6,0,2,183
6,0,3,65
6,0,4,73
6,1,0,359
6,1,1,960
6,1,2,160
6,1,3,18
6,1,4,23
6,2,0,354
6,2,1,111
6,2,2,982
6,2,3,8
6,2,4,21
6,3,0,201
6,3,1,12
6,3,2,36
6,3,3,64
6,3,4,11
6,4,0,174
6,4,1,76
6,4,2,20
6,4,3,8
6,4,4,754
7,0,0,4589
7,0,1,46
7,0,2,167
7,0,3,65
7,0,4,557
7,1,0,281
7,1,1,794
7,1,2,168
7,1,3,12
7,1,4,265
7,2,0,312
7,2,1,91
7,2,2,940
7,2,3,4
7,2,4,129
7,3,0,181
7,3,1,3
7,3,2,43
7,3,3,48
7,3,4,49
7,4,0,93
7,4,1,41
7,4,2,10
7,4,3,4
7,4,4,884
8,0,0,4927
8,0,1,141
8,0,2,251
8,0,3,63
8,0,4,42
8,1,0,315
8,1,1,957
8,1,2,203
8,1,3,15
8,1,4,30
8,2,0,282
8,2,1,116
8,2,2,1066
8,2,3,4
8,2,4,8
8,3,0,203
8,3,1,11
8,3,2,37
8,3,3,68
8,3,4,5
8,4,0,273
8,4,1,115
8,4,2,28
8,4,3,15
8,4,4,601
9,0,0,5049
9,0,1,85
9,0,2,66
9,0,3,24
9,0,4,200
9,1,0,374
9,1,1,863
9,1,2,124
9,1,3,4
9,1,4,155
9,2,0,501
9,2,1,96
9,2,2,822
9,2,3,0
9,2,4,57
9,3,0,214
9,3,1,16
9,3,2,23
9,3,3,32
9,3,4,39
9,4,0,175
9,4,1,58
9,4,2,4
9,4,3,1
9,4,4,794
10,0,0,4975
10,0,1,67
10,0,2,201
10,0,3,110
10,0,4,71
10,1,0,361
10,1,1,809
10,1,2,274
10,1,3,19
10,1,4,57
10,2,0,333
10,2,1,37
10,2,2,1086
10,2,3,8
10,2,4,12
10,3,0,183
10,3,1,8
10,3,2,48
10,3,3,81
10,3,4,4
10,4,0,217
10,4,1,57
10,4,2,24
10,4,3,8
10,4,4,726
11,0,0,4939
11,0,1,119
11,0,2,185
11,0,3,48
11,0,4,133
11,1,0,287
11,1,1,968
11,1,2,193
11,1,3,8
11,1,4,64
11,2,0,314
11,2,1,96
11,2,2,1036
11,2,3,4
11,2,4,26
11,3,0,201
11,3,1,20
11,3,2,40
11,3,3,51
11,3,4,12
11,4,0,170
11,4,1,66
11,4,2,24
11,4,3,4
11,4,4,768
12,0,0,5107
12,0,1,39
12,0,2,87
12,0,3,81
12,0,4,110
12,1,0,439
12,1,1,763
12,1,2,201
12,1,3,17
12,1,4,100
12,2,0,492
12,2,1,36
12,2,2,912
12,2,3,4
12,2,4,32
12,3,0,193
12,3,1,0
12,3,2,31
12,3,3,88
12,3,4,12
12,4,0,195
12,4,1,40
12,4,2,16
12,4,3,12
12,4,4,769
13,0,0,4994
13,0,1,112
13,0,2,180
13,0,3,64
13,0,4,74
13,1,0,316
13,1,1,956
13,1,2,212
13,1,3,12
13,1,4,24
13,2,0,324
13,2,1,57
13,2,2,1079
13,2,3,4
13,2,4,12
13,3,0,191
13,3,1,1
13,3,2,64
13,3,3,54
13,3,4,14
13,4,0,204
13,4,1,55
13,4,2,20
13,4,3,14
13,4,4,739
14,0,0,4966
14,0,1,162
14,0,2,113
14,0,3,111
14,0,4,72
14,1,0,292
14,1,1,998
14,1,2,180
14,1,3,17
14,1,4,33
14,2,0,379
14,2,1,73
14,2,2,992
14,2,3,12
14,2,4,20
14,3,0,171
14,3,1,9
14,3,2,33
14,3,3,98
14,3,4,13
14,4,0,192
14,4,1,48
14,4,2,8
14,4,3,16
14,4,4,768
15,0,0,4990
15,0,1,189
15,0,2,131
15,0,3,65
15,0,4,49
15,1,0,286
15,1,1,1015
15,1,2,189
15,1,3,12
15,1,4,18
15,2,0,360
15,2,1,77
15,2,2,1015
15,2,3,8
15,2,4,16
15,3,0,202
15,3,1,8
15,3,2,44
15,3,3,62
15,3,4,8
15,4,0,208
15,4,1,83
15,4,2,18
15,4,3,20
15,4,4,703
