round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9913,0.1954,0.0027,0.0000,0.2955
2,0.9628,0.2908,0.5562,0.0000,0.3760
3,0.8475,0.5671,0.4478,0.0586,0.7238
4,0.9567,0.3717,0.6579,0.1111,0.6395
5,0.9133,0.5467,0.6491,0.1204,0.7335
6,0.9318,0.6151,0.6938,0.0741,0.6366
7,0.9174,0.6033,0.7175,0.1512,0.7519
8,0.9296,0.5296,0.7967,0.1728,0.6667
9,0.9292,0.6092,0.7615,0.2099,0.6928
10,0.9381,0.6375,0.7073,0.1852,0.7025
11,0.9228,0.6632,0.7276,0.1852,0.6705
12,0.9467,0.5908,0.7188,0.1481,0.7035
13,0.9242,0.6750,0.7263,0.1883,0.7529
14,0.9399,0.5224,0.7222,0.2253,0.7316
15,0.9281,0.6461,0.7114,0.3457,0.7297
1,0.9985,0.0000,0.0000,0.0000,0.2703
2,0.9545,0.5066,0.0000,0.0000,0.2975
3,0.9462,0.3467,0.4099,0.0000,0.3556
4,0.9467,0.2836,0.5285,0.0000,0.4157
5,0.9381,0.3237,0.5549,0.0123,0.5417
6,0.9558,0.2947,0.5589,0.0278,0.5707
7,0.9331,0.3803,0.6341,0.0957,0.5107
8,0.9133,0.4447,0.6335,0.0833,0.6434
9,0.9379,0.4605,0.5617,0.0617,0.6599
10,0.9318,0.5289,0.5786,0.1142,0.6318
11,0.9381,0.4954,0.6612,0.1111,0.6957
12,0.9517,0.4612,0.6267,0.1204,0.6589
13,0.9342,0.6007,0.6009,0.1080,0.7083
14,0.9393,0.5691,0.6389,0.0926,0.7006
15,0.9143,0.5013,0.7683,0.1481,0.7054
