round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9971,0.0000,0.0000,0.0000,0.1647
2,0.9900,0.0000,0.0000,0.0000,0.3285
3,0.9941,0.0309,0.0000,0.0000,0.3479
4,0.9655,0.4013,0.0000,0.0000,0.3178
5,0.9423,0.5414,0.0014,0.0000,0.3091
6,0.9534,0.5164,0.0454,0.0000,0.3324
7,0.9733,0.3638,0.1565,0.0000,0.4448
8,0.9650,0.3645,0.3049,0.0000,0.5252
9,0.9218,0.3316,0.5149,0.0000,0.5659
10,0.9460,0.3086,0.6551,0.0093,0.5465
11,0.9504,0.4020,0.6009,0.0123,0.6221
12,0.9452,0.4914,0.5149,0.0123,0.6502
13,0.9353,0.5053,0.5766,0.0309,0.6415
14,0.9176,0.5421,0.6592,0.0864,0.6337
15,0.9087,0.5743,0.5691,0.1049,0.7064
