round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9849,0.1112,0.0298,0.0000,0.3188
2,0.9270,0.3401,0.4885,0.0741,0.6047
3,0.9334,0.4678,0.6416,0.0864,0.6793
4,0.9493,0.5303,0.6064,0.1296,0.7025
5,0.9428,0.5316,0.6213,0.1605,0.7413
6,0.9152,0.6316,0.6653,0.1975,0.7306
7,0.8461,0.5224,0.6369,0.1481,0.8566
8,0.9084,0.6296,0.7222,0.2099,0.5824
9,0.9309,0.5678,0.5569,0.0988,0.7694
10,0.9172,0.5322,0.7358,0.2500,0.7035
11,0.9106,0.6368,0.7019,0.1574,0.7442
12,0.9416,0.5020,0.6179,0.2716,0.7452
13,0.9207,0.6289,0.7310,0.1667,0.7161
14,0.9156,0.6566,0.6721,0.3025,0.7442
15,0.9200,0.6678,0.6877,0.1914,0.6812
