client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,1,0.2218,1.5817,0,0,8.58,164421,tuned
2,1,0.5819,1.1984,0,0,143.75,164421,tuned
1,1,0.6070,1.0794,0,0,281.09,164421,tuned
0,1,0.6657,0.9447,0,0,338.55,164421,tuned
GLOBAL,1,0.5973,1.0789,,,,,tuned
3,2,0.6049,1.0540,0,0,6.37,164421,tuned
2,2,0.6559,0.9367,0,0,131.56,164421,tuned
1,2,0.7010,0.8464,0,0,267.53,164421,tuned
0,2,0.7158,0.8035,0,0,327.20,164421,tuned
GLOBAL,2,0.7174,0.7871,,,,,tuned
3,3,0.7109,0.8248,0,0,5.82,164421,tuned
2,3,0.7351,0.7830,0,0,141.64,164421,tuned
1,3,0.7413,0.7673,0,0,277.24,164421,tuned
0,3,0.7384,0.7489,0,0,333.69,164421,tuned
GLOBAL,3,0.7535,0.6957,,,,,tuned
3,4,0.7450,0.7532,0,0,5.94,164421,tuned
2,4,0.7380,0.7431,0,0,142.76,164421,tuned
1,4,0.7622,0.7021,0,0,281.84,164421,tuned
0,4,0.7462,0.7319,0,0,342.09,164421,tuned
GLOBAL,4,0.7758,0.6594,,,,,tuned
3,5,0.7581,0.7073,0,0,5.18,164421,tuned
2,5,0.7458,0.7191,0,0,127.35,164421,tuned
1,5,0.7585,0.6841,0,0,264.12,164421,tuned
0,5,0.7466,0.6988,0,0,320.52,164421,tuned
GLOBAL,5,0.7850,0.6145,,,,,tuned
3,6,0.7643,0.6657,0,0,5.21,164421,tuned
2,6,0.7626,0.6733,0,0,157.77,164421,tuned
1,6,0.7474,0.6891,0,0,307.54,164421,tuned
0,6,0.7717,0.6667,0,0,370.62,164421,tuned
GLOBAL,6,0.7838,0.6126,,,,,tuned
3,7,0.7782,0.6586,0,0,5.68,164421,tuned
2,7,0.7544,0.7089,0,0,137.30,164421,tuned
1,7,0.7844,0.6284,0,0,284.98,164421,tuned
0,7,0.7819,0.6308,0,0,344.96,164421,tuned
GLOBAL,7,0.7950,0.5916,,,,,tuned
3,8,0.7713,0.6605,0,0,6.04,164421,tuned
2,8,0.7786,0.6331,0,0,157.90,164421,tuned
1,8,0.7737,0.6569,0,0,338.55,164421,tuned
0,8,0.7733,0.6454,0,0,406.43,164421,tuned
GLOBAL,8,0.7978,0.5831,,,,,tuned
3,9,0.7885,0.6402,0,0,5.73,164421,tuned
2,9,0.7762,0.6892,0,0,142.88,164421,tuned
1,9,0.7852,0.6183,0,0,285.47,164421,tuned
0,9,0.7901,0.6147,0,0,351.55,164421,tuned
GLOBAL,9,0.7989,0.5843,,,,,tuned
3,10,0.7889,0.6056,0,0,6.43,164421,tuned
2,10,0.7840,0.6300,0,0,146.78,164421,tuned
1,10,0.7848,0.6081,0,0,302.61,164421,tuned
0,10,0.7918,0.6109,0,0,372.31,164421,tuned
GLOBAL,10,0.7984,0.5741,,,,,tuned
3,11,0.7901,0.6262,0,0,7.46,164421,tuned
2,11,0.7819,0.6346,0,0,149.54,164421,tuned
1,11,0.7832,0.6413,0,0,303.82,164421,tuned
0,11,0.7897,0.6040,0,0,380.13,164421,tuned
GLOBAL,11,0.7945,0.5914,,,,,tuned
3,12,0.8053,0.6021,0,0,6.27,164421,tuned
2,12,0.7848,0.6155,0,0,152.25,164421,tuned
1,12,0.7934,0.6007,0,0,312.28,164421,tuned
0,12,0.7786,0.6558,0,0,383.77,164421,tuned
GLOBAL,12,0.8024,0.5925,,,,,tuned
3,13,0.7955,0.6020,0,0,5.71,164421,tuned
2,13,0.7869,0.6320,0,0,158.29,164421,tuned
1,13,0.7873,0.6153,0,0,324.53,164421,tuned
0,13,0.7142,0.8313,0,0,438.91,164421,tuned
GLOBAL,13,0.7847,0.6234,,,,,tuned
3,14,0.7864,0.6490,0,0,7.15,164421,tuned
2,14,0.7791,0.6340,0,0,147.91,164421,tuned
1,14,0.7943,0.6144,0,0,342.20,164421,tuned
