round,true,pred,count
1,0,0,5392
1,0,1,20
1,0,2,0
1,0,3,0
1,0,4,12
1,1,0,1236
1,1,1,263
1,1,2,0
1,1,3,0
1,1,4,21
1,2,0,1369
1,2,1,99
1,2,2,0
1,2,3,0
1,2,4,8
1,3,0,308
1,3,1,4
1,3,2,0
1,3,3,0
1,3,4,12
1,4,0,666
1,4,1,74
1,4,2,0
1,4,3,0
1,4,4,292
2,0,0,5209
2,0,1,78
2,0,2,109
2,0,3,0
2,0,4,28
2,1,0,663
2,1,1,535
2,1,2,271
2,1,3,0
2,1,4,51
2,2,0,505
2,2,1,212
2,2,2,751
2,2,3,0
2,2,4,8
2,3,0,263
2,3,1,4
2,3,2,33
2,3,3,0
2,3,4,24
2,4,0,476
2,4,1,110
2,4,2,20
2,4,3,0
2,4,4,426
3,0,0,4925
3,0,1,85
3,0,2,255
3,0,3,10
3,0,4,149
3,1,0,476
3,1,1,633
3,1,2,253
3,1,3,0
3,1,4,158
3,2,0,270
3,2,1,271
3,2,2,917
3,2,3,0
3,2,4,18
3,3,0,217
3,3,1,8
3,3,2,44
3,3,3,19
3,3,4,36
3,4,0,262
3,4,1,55
3,4,2,32
3,4,3,0
3,4,4,683
4,0,0,5139
4,0,1,43
4,0,2,155
4,0,3,29
4,0,4,58
4,1,0,503
4,1,1,700
4,1,2,206
4,1,3,8
4,1,4,103
4,2,0,376
4,2,1,155
4,2,2,929
4,2,3,4
4,2,4,12
4,3,0,218
4,3,1,0
4,3,2,42
4,3,3,45
4,3,4,19
4,4,0,248
4,4,1,56
4,4,2,20
4,4,3,4
4,4,4,704
5,0,0,5163
5,0,1,54
5,0,2,128
5,0,3,11
5,0,4,68
5,1,0,502
5,1,1,753
5,1,2,149
5,1,3,11
5,1,4,105
5,2,0,402
5,2,1,177
5,2,2,872
5,2,3,4
5,2,4,21
5,3,0,226
5,3,1,0
5,3,2,42
5,3,3,44
5,3,4,12
5,4,0,256
5,4,1,49
5,4,2,16
5,4,3,4
5,4,4,707
6,0,0,4967
6,0,1,165
6,0,2,227
6,0,3,22
6,0,4,43
6,1,0,411
6,1,1,880
6,1,2,185
6,1,3,8
6,1,4,36
6,2,0,241
6,2,1,260
6,2,2,965
6,2,3,0
6,2,4,10
6,3,0,189
6,3,1,0
6,3,2,83
6,3,3,40
6,3,4,12
6,4,0,258
6,4,1,69
6,4,2,32
6,4,3,0
6,4,4,673
7,0,0,5045
7,0,1,147
7,0,2,156
7,0,3,36
7,0,4,40
7,1,0,385
7,1,1,932
7,1,2,147
7,1,3,8
7,1,4,48
7,2,0,370
7,2,1,119
7,2,2,975
7,2,3,4
7,2,4,8
7,3,0,206
7,3,1,4
7,3,2,45
7,3,3,57
7,3,4,12
7,4,0,232
7,4,1,91
7,4,2,16
7,4,3,1
7,4,4,692
8,0,0,5141
8,0,1,36
8,0,2,167
8,0,3,44
8,0,4,36
8,1,0,424
8,1,1,749
8,1,2,287
8,1,3,12
8,1,4,48
8,2,0,328
8,2,1,40
8,2,2,1096
8,2,3,0
8,2,4,12
8,3,0,187
8,3,1,4
8,3,2,61
8,3,3,68
8,3,4,4
8,4,0,299
8,4,1,61
8,4,2,28
8,4,3,4
8,4,4,640
9,0,0,5123
9,0,1,34
9,0,2,157
9,0,3,58
9,0,4,52
9,1,0,450
9,1,1,679
9,1,2,262
9,1,3,12
9,1,4,117
9,2,0,332
9,2,1,54
9,2,2,1078
9,2,3,0
9,2,4,12
9,3,0,195
9,3,1,4
9,3,2,53
9,3,3,62
9,3,4,10
9,4,0,274
9,4,1,20
9,4,2,29
9,4,3,7
9,4,4,702
10,0,0,5082
10,0,1,83
10,0,2,131
10,0,3,83
10,0,4,45
10,1,0,364
10,1,1,889
10,1,2,218
10,1,3,12
10,1,4,37
10,2,0,378
10,2,1,56
10,2,2,1025
10,2,3,5
10,2,4,12
10,3,0,184
10,3,1,7
10,3,2,43
10,3,3,82
10,3,4,8
10,4,0,246
10,4,1,57
10,4,2,16
10,4,3,17
10,4,4,696
11,0,0,4979
11,0,1,216
11,0,2,117
11,0,3,56
11,0,4,56
11,1,0,277
11,1,1,1063
11,1,2,124
11,1,3,8
11,1,4,48
11,2,0,347
11,2,1,132
11,2,2,976
11,2,3,5
11,2,4,16
11,3,0,201
11,3,1,16
11,3,2,41
11,3,3,58
11,3,4,8
11,4,0,221
11,4,1,65
11,4,2,8
11,4,3,12
11,4,4,726
12,0,0,4470
12,0,1,51
12,0,2,751
12,0,3,91
12,0,4,61
12,1,0,292
12,1,1,806
12,1,2,362
12,1,3,16
12,1,4,44
12,2,0,151
12,2,1,36
12,2,2,1269
12,2,3,4
12,2,4,16
12,3,0,134
12,3,1,4
12,3,2,121
12,3,3,53
12,3,4,12
12,4,0,192
12,4,1,43
12,4,2,77
12,4,3,7
12,4,4,713
13,0,0,5007
13,0,1,80
13,0,2,198
13,0,3,83
13,0,4,56
13,1,0,271
13,1,1,1005
13,1,2,215
13,1,3,15
13,1,4,14
13,2,0,285
13,2,1,74
13,2,2,1099
13,2,3,2
13,2,4,16
13,3,0,173
13,3,1,6
13,3,2,61
13,3,3,76
13,3,4,8
13,4,0,217
13,4,1,67
