round,true,pred,count
1,0,0,5408
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,16
1,1,0,1513
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,7
1,2,0,1472
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,4
1,3,0,320
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,4
1,4,0,860
1,4,1,2
1,4,2,0
1,4,3,0
1,4,4,170
2,0,0,5370
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,54
2,1,0,1406
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,114
2,2,0,1432
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,44
2,3,0,276
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,48
2,4,0,693
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,339
3,0,0,5344
3,0,1,43
3,0,2,0
3,0,3,0
3,0,4,37
3,1,0,1243
3,1,1,92
3,1,2,0
3,1,3,0
3,1,4,185
3,2,0,1353
3,2,1,52
3,2,2,0
3,2,3,0
3,2,4,71
3,3,0,283
3,3,1,8
3,3,2,0
3,3,3,0
3,3,4,33
3,4,0,623
3,4,1,36
3,4,2,0
3,4,3,0
3,4,4,373
4,0,0,5251
4,0,1,153
4,0,2,0
4,0,3,0
4,0,4,20
4,1,0,838
4,1,1,609
4,1,2,0
4,1,3,0
4,1,4,73
4,2,0,974
4,2,1,474
4,2,2,0
4,2,3,0
4,2,4,28
4,3,0,265
4,3,1,39
4,3,2,0
4,3,3,0
4,3,4,20
4,4,0,489
4,4,1,214
4,4,2,0
4,4,3,0
4,4,4,329
5,0,0,5029
5,0,1,364
5,0,2,2
5,0,3,0
5,0,4,29
5,1,0,601
5,1,1,855
5,1,2,0
5,1,3,0
5,1,4,64
5,2,0,660
5,2,1,768
5,2,2,0
5,2,3,0
5,2,4,48
5,3,0,233
5,3,1,63
5,3,2,0
5,3,3,0
5,3,4,28
5,4,0,382
5,4,1,299
5,4,2,6
5,4,3,0
5,4,4,345
6,0,0,5143
6,0,1,214
6,0,2,39
6,0,3,0
6,0,4,28
6,1,0,727
6,1,1,708
6,1,2,55
6,1,3,0
6,1,4,30
6,2,0,813
6,2,1,613
6,2,2,22
6,2,3,0
6,2,4,28
6,3,0,289
6,3,1,20
6,3,2,5
6,3,3,0
6,3,4,10
6,4,0,442
6,4,1,290
6,4,2,3
6,4,3,0
6,4,4,297
7,0,0,5264
7,0,1,66
7,0,2,70
7,0,3,0
7,0,4,24
7,1,0,692
7,1,1,616
7,1,2,118
7,1,3,0
7,1,4,94
7,2,0,817
7,2,1,425
7,2,2,198
7,2,3,0
7,2,4,36
7,3,0,264
7,3,1,8
7,3,2,24
7,3,3,0
7,3,4,28
7,4,0,397
7,4,1,147
7,4,2,22
7,4,3,0
7,4,4,466
8,0,0,5270
8,0,1,48
8,0,2,89
8,0,3,0
8,0,4,17
8,1,0,679
8,1,1,532
8,1,2,197
8,1,3,0
8,1,4,112
8,2,0,744
8,2,1,281
8,2,2,419
8,2,3,0
8,2,4,32
8,3,0,282
8,3,1,4
8,3,2,22
8,3,3,0
8,3,4,16
8,4,0,401
8,4,1,88
8,4,2,11
8,4,3,0
8,4,4,532
9,0,0,5137
9,0,1,80
9,0,2,150
9,0,3,0
9,0,4,57
9,1,0,564
9,1,1,597
9,1,2,240
9,1,3,0
9,1,4,119
9,2,0,468
9,2,1,343
9,2,2,648
9,2,3,0
9,2,4,17
9,3,0,232
9,3,1,8
9,3,2,44
9,3,3,0
9,3,4,40
9,4,0,257
9,4,1,108
9,4,2,26
9,4,3,0
9,4,4,641
10,0,0,5162
10,0,1,46
10,0,2,177
10,0,3,4
10,0,4,35
10,1,0,570
10,1,1,511
10,1,2,364
10,1,3,4
10,1,4,71
10,2,0,469
10,2,1,140
10,2,2,858
10,2,3,5
10,2,4,4
10,3,0,244
10,3,1,4
10,3,2,52
10,3,3,8
10,3,4,16
10,4,0,307
10,4,1,131
10,4,2,40
10,4,3,3
10,4,4,551
11,0,0,5178
11,0,1,53
11,0,2,141
11,0,3,4
11,0,4,48
11,1,0,558
11,1,1,618
11,1,2,216
11,1,3,4
11,1,4,124
11,2,0,459
11,2,1,194
11,2,2,799
11,2,3,4
11,2,4,20
11,3,0,252
11,3,1,4
11,3,2,48
11,3,3,4
11,3,4,16
11,4,0,288
11,4,1,75
11,4,2,16
11,4,3,0
11,4,4,653
12,0,0,5129
12,0,1,64
12,0,2,177
12,0,3,10
12,0,4,44
12,1,0,510
12,1,1,704
12,1,2,210
12,1,3,7
12,1,4,89
12,2,0,405
12,2,1,228
12,2,2,819
12,2,3,8
12,2,4,16
12,3,0,221
12,3,1,8
12,3,2,52
12,3,3,19
12,3,4,24
12,4,0,291
12,4,1,91
12,4,2,19
12,4,3,0
12,4,4,631
13,0,0,5015
13,0,1,115
13,0,2,218
13,0,3,16
13,0,4,60
13,1,0,453
13,1,1,792
13,1,2,188
13,1,3,7
13,1,4,80
13,2,0,367
13,2,1,209
13,2,2,884
13,2,3,8
13,2,4,8
13,3,0,225
13,3,1,8
13,3,2,48
13,3,3,23
13,3,4,20
13,4,0,242
13,4,1,84
13,4,2,28
13,4,3,4
13,4,4,674
14,0,0,4929
14,0,1,140
14,0,2,284
14,0,3,17
14,0,4,54
14,1,0,395
14,1,1,841
14,1,2,221
14,1,3,4
14,1,4,59
14,2,0,288
14,2,1,236
14,2,2,940
14,2,3,8
14,2,4,4
14,3,0,204
14,3,1,8
14,3,2,56
14,3,3,32
14,3,4,24
14,4,0,238
14,4,1,104
14,4,2,34
14,4,3,5
14,4,4,651
15,0,0,4942
15,0,1,179
15,0,2,208
15,0,3,25
15,0,4,70
15,1,0,386
15,1,1,878
15,1,2,136
15,1,3,12
15,1,4,108
15,2,0,345
15,2,1,283
15,2,2,832
15,2,3,8
15,2,4,8
15,3,0,210
15,3,1,12
15,3,2,40
15,3,3,38
15,3,4,24
15,4,0,194
15,4,1,84
15,4,2,16
15,4,3,16
15,4,4,722
