round,true,pred,count
1,0,0,5376
1,0,1,8
1,0,2,8
1,0,3,0
1,0,4,32
1,1,0,1350
1,1,1,91
1,1,2,39
1,1,3,0
1,1,4,40
1,2,0,1384
1,2,1,7
1,2,2,52
1,2,3,0
1,2,4,33
1,3,0,291
1,3,1,0
1,3,2,13
1,3,3,0
1,3,4,20
1,4,0,666
1,4,1,42
1,4,2,4
1,4,3,0
1,4,4,320
2,0,0,5065
2,0,1,66
2,0,2,252
2,0,3,4
2,0,4,37
2,1,0,568
2,1,1,529
2,1,2,341
2,1,3,4
2,1,4,78
2,2,0,375
2,2,1,168
2,2,2,925
2,2,3,0
2,2,4,8
2,3,0,233
2,3,1,11
2,3,2,62
2,3,3,2
2,3,4,16
2,4,0,409
2,4,1,99
2,4,2,32
2,4,3,0
2,4,4,492
3,0,0,5161
3,0,1,27
3,0,2,189
3,0,3,15
3,0,4,32
3,1,0,552
3,1,1,558
3,1,2,295
3,1,3,8
3,1,4,107
3,2,0,391
3,2,1,95
3,2,2,966
3,2,3,12
3,2,4,12
3,3,0,226
3,3,1,8
3,3,2,44
3,3,3,38
3,3,4,8
3,4,0,309
3,4,1,56
3,4,2,20
3,4,3,4
3,4,4,643
4,0,0,5202
4,0,1,54
4,0,2,111
4,0,3,14
4,0,4,43
4,1,0,503
4,1,1,720
4,1,2,210
4,1,3,16
4,1,4,71
4,2,0,455
4,2,1,68
4,2,2,930
4,2,3,4
4,2,4,19
4,3,0,221
4,3,1,8
4,3,2,32
4,3,3,54
4,3,4,9
4,4,0,264
4,4,1,78
4,4,2,10
4,4,3,2
4,4,4,678
5,0,0,4910
5,0,1,187
5,0,2,217
5,0,3,24
5,0,4,86
5,1,0,294
5,1,1,933
5,1,2,208
5,1,3,13
5,1,4,72
5,2,0,285
5,2,1,101
5,2,2,1059
5,2,3,4
5,2,4,27
5,3,0,195
5,3,1,13
5,3,2,52
5,3,3,52
5,3,4,12
5,4,0,195
5,4,1,93
5,4,2,20
5,4,3,4
5,4,4,720
6,0,0,5004
6,0,1,58
6,0,2,165
6,0,3,113
6,0,4,84
6,1,0,391
6,1,1,787
6,1,2,247
6,1,3,38
6,1,4,57
6,2,0,338
6,2,1,51
6,2,2,1037
6,2,3,22
6,2,4,28
6,3,0,157
6,3,1,6
6,3,2,40
6,3,3,97
6,3,4,24
6,4,0,195
6,4,1,76
6,4,2,8
6,4,3,16
6,4,4,737
7,0,0,5077
7,0,1,118
7,0,2,127
7,0,3,54
7,0,4,48
7,1,0,313
7,1,1,947
7,1,2,195
7,1,3,9
7,1,4,56
7,2,0,388
7,2,1,76
7,2,2,983
7,2,3,9
7,2,4,20
7,3,0,197
7,3,1,12
7,3,2,48
7,3,3,58
7,3,4,9
7,4,0,225
7,4,1,81
7,4,2,12
7,4,3,7
7,4,4,707
8,0,0,4998
8,0,1,119
8,0,2,135
8,0,3,128
8,0,4,44
8,1,0,284
8,1,1,981
8,1,2,199
8,1,3,20
8,1,4,36
8,2,0,353
8,2,1,75
8,2,2,1005
8,2,3,19
8,2,4,24
8,3,0,144
8,3,1,11
8,3,2,42
8,3,3,115
8,3,4,12
8,4,0,219
8,4,1,81
8,4,2,12
8,4,3,20
8,4,4,700
9,0,0,5093
9,0,1,129
9,0,2,97
9,0,3,68
9,0,4,37
9,1,0,309
9,1,1,983
9,1,2,192
9,1,3,8
9,1,4,28
9,2,0,423
9,2,1,57
9,2,2,961
9,2,3,11
9,2,4,24
9,3,0,177
9,3,1,12
9,3,2,45
9,3,3,80
9,3,4,10
9,4,0,227
9,4,1,80
9,4,2,20
9,4,3,12
9,4,4,693
10,0,0,4932
10,0,1,121
10,0,2,175
10,0,3,124
10,0,4,72
10,1,0,270
10,1,1,951
10,1,2,247
10,1,3,17
10,1,4,35
10,2,0,330
10,2,1,52
10,2,2,1056
10,2,3,18
10,2,4,20
10,3,0,136
10,3,1,12
10,3,2,45
10,3,3,123
10,3,4,8
10,4,0,161
10,4,1,76
10,4,2,25
10,4,3,27
10,4,4,743
11,0,0,5002
11,0,1,90
11,0,2,93
11,0,3,156
11,0,4,83
11,1,0,334
11,1,1,945
11,1,2,193
11,1,3,18
11,1,4,30
11,2,0,417
11,2,1,51
11,2,2,951
11,2,3,33
11,2,4,24
11,3,0,130
11,3,1,11
11,3,2,32
11,3,3,139
11,3,4,12
11,4,0,194
11,4,1,72
11,4,2,8
11,4,3,28
11,4,4,730
12,0,0,5020
12,0,1,95
12,0,2,131
12,0,3,117
12,0,4,61
12,1,0,320
12,1,1,950
12,1,2,198
12,1,3,14
12,1,4,38
12,2,0,363
12,2,1,49
12,2,2,1024
12,2,3,13
12,2,4,27
12,3,0,156
12,3,1,11
12,3,2,38
12,3,3,111
12,3,4,8
12,4,0,197
12,4,1,61
12,4,2,12
12,4,3,23
12,4,4,739
13,0,0,4719
13,0,1,225
13,0,2,218
13,0,3,132
13,0,4,130
13,1,0,285
13,1,1,1037
13,1,2,134
13,1,3,16
13,1,4,48
13,2,0,268
13,2,1,164
13,2,2,1007
13,2,3,13
13,2,4,24
13,3,0,122
13,3,1,12
13,3,2,39
13,3,3,131
13,3,4,20
13,4,0,138
13,4,1,73
13,4,2,20
13,4,3,24
13,4,4,777
14,0,0,5032
14,0,1,114
14,0,2,126
14,0,3,87
14,0,4,65
14,1,0,291
14,1,1,1002
14,1,2,195
14,1,3,12
14,1,4,20
14,2,0,351
14,2,1,72
14,2,2,1020
14,2,3,12
14,2,4,21
14,3,0,174
14,3,1,4
14,3,2,51
14,3,3,84
14,3,4,11
14,4,0,191
14,4,1,65
14,4,2,12
14,4,3,16
14,4,4,748
15,0,0,5026
15,0,1,76
15,0,2,122
15,0,3,146
15,0,4,54
15,1,0,333
15,1,1,938
15,1,2,212
15,1,3,17
15,1,4,20
15,2,0,344
15,2,1,68
15,2,2,1023
15,2,3,21
15,2,4,20
15,3,0,144
15,3,1,0
15,3,2,48
15,3,3,127
15,3,4,5
15,4,0,208
15,4,1,79
15,4,2,22
15,4,3,16
15,4,4,707
