round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9941,0.1730,0.0000,0.0000,0.2829
2,0.9604,0.3520,0.5088,0.0000,0.4128
3,0.9080,0.4164,0.6213,0.0586,0.6618
4,0.9475,0.4605,0.6294,0.1389,0.6822
5,0.9519,0.4954,0.5908,0.1358,0.6851
6,0.9157,0.5789,0.6538,0.1235,0.6521
7,0.9301,0.6132,0.6606,0.1759,0.6705
8,0.9478,0.4928,0.7425,0.2099,0.6202
9,0.9445,0.4467,0.7304,0.1914,0.6802
10,0.9369,0.5849,0.6944,0.2531,0.6744
11,0.9180,0.6993,0.6612,0.1790,0.7035
12,0.8241,0.5303,0.8598,0.1636,0.6909
13,0.9231,0.6612,0.7446,0.2346,0.6938
14,0.9277,0.5730,0.7283,0.3333,0.6938
15,0.9266,0.6454,0.7405,0.3148,0.6822
1,0.9985,0.0000,0.0000,0.0000,0.2703
2,0.9543,0.5059,0.0000,0.0000,0.2975
3,0.9395,0.3520,0.4370,0.0000,0.3576
4,0.9515,0.2993,0.5122,0.0031,0.3915
5,0.9397,0.2941,0.5779,0.0123,0.5581
6,0.9521,0.3257,0.5949,0.0617,0.5514
7,0.9292,0.3961,0.6443,0.1049,0.5484
8,0.9067,0.4178,0.6897,0.0957,0.6328
9,0.9388,0.4342,0.5522,0.0772,0.7209
10,0.9205,0.5316,0.6314,0.0741,0.7016
11,0.9279,0.5211,0.6545,0.1019,0.6531
12,0.9460,0.4414,0.6633,0.1019,0.6841
13,0.9288,0.6033,0.6220,0.1049,0.6609
14,0.9443,0.5586,0.6558,0.0833,0.6783
15,0.9263,0.5125,0.7507,0.1759,0.7306
