round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9971,0.0000,0.0000,0.0000,0.1647
2,0.9900,0.0000,0.0000,0.0000,0.3285
3,0.9853,0.0605,0.0000,0.0000,0.3614
4,0.9681,0.4007,0.0000,0.0000,0.3188
5,0.9272,0.5625,0.0000,0.0000,0.3343
6,0.9482,0.4658,0.0149,0.0000,0.2878
7,0.9705,0.4053,0.1341,0.0000,0.4516
8,0.9716,0.3500,0.2839,0.0000,0.5155
9,0.9471,0.3928,0.4390,0.0000,0.6211
10,0.9517,0.3362,0.5813,0.0247,0.5339
11,0.9546,0.4066,0.5413,0.0123,0.6328
12,0.9456,0.4632,0.5549,0.0586,0.6114
13,0.9246,0.5211,0.5989,0.0710,0.6531
14,0.9087,0.5533,0.6369,0.0988,0.6308
15,0.9111,0.5776,0.5637,0.1173,0.6996
