round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9912,0.0599,0.0352,0.0000,0.3101
2,0.9338,0.3480,0.6267,0.0062,0.4767
3,0.9515,0.3671,0.6545,0.1173,0.6231
4,0.9591,0.4737,0.6301,0.1667,0.6570
5,0.9052,0.6138,0.7175,0.1605,0.6977
6,0.9226,0.5178,0.7026,0.2994,0.7141
7,0.9360,0.6230,0.6660,0.1790,0.6851
8,0.9215,0.6454,0.6809,0.3549,0.6783
9,0.9390,0.6467,0.6511,0.2469,0.6715
10,0.9093,0.6257,0.7154,0.3796,0.7200
11,0.9222,0.6217,0.6443,0.4290,0.7074
12,0.9255,0.6250,0.6938,0.3426,0.7161
13,0.8700,0.6822,0.6822,0.4043,0.7529
14,0.9277,0.6592,0.6911,0.2593,0.7248
15,0.9266,0.6171,0.6931,0.3920,0.6851
