client_id,round,accuracy,loss,frozen_layers,is_frozen,wall_time_sec,trainable_params,phase
3,1,0.5758,1.5065,0,0,1.75,159333,post_cv
2,1,0.7060,0.8975,0,0,16.47,159333,post_cv
1,1,0.7072,0.9591,0,0,41.74,159333,post_cv
0,1,0.7474,0.7064,0,0,48.87,159333,post_cv
GLOBAL,1,0.7211,0.7981,,,,,post_cv
3,2,0.7277,0.7697,0,0,1.59,159333,post_cv
2,2,0.7175,0.7522,0,0,16.56,159333,post_cv
1,2,0.7454,0.7145,0,0,42.43,159333,post_cv
0,2,0.7441,0.6997,0,0,49.61,159333,post_cv
GLOBAL,2,0.7960,0.5949,,,,,post_cv
3,3,0.7162,0.7723,0,0,1.57,159333,post_cv
2,3,0.7429,0.7085,0,0,16.19,159333,post_cv
1,3,0.6768,0.9173,0,0,41.16,159333,post_cv
0,3,0.7795,0.6372,0,0,48.62,159333,post_cv
GLOBAL,3,0.7929,0.5795,,,,,post_cv
3,4,0.7273,0.8122,0,0,1.54,159333,post_cv
2,4,0.7569,0.7214,0,0,16.16,159333,post_cv
1,4,0.7540,1.0672,0,0,40.90,159333,post_cv
0,4,0.7499,0.6821,0,0,48.96,159333,post_cv
GLOBAL,4,0.8047,0.5856,,,,,post_cv
3,5,0.7692,0.6462,0,0,1.64,159333,post_cv
2,5,0.7515,0.6969,0,0,16.09,159333,post_cv
1,5,0.7347,0.8215,0,0,40.83,159333,post_cv
0,5,0.7811,0.6183,0,0,48.37,159333,post_cv
GLOBAL,5,0.8081,0.5736,,,,,post_cv
3,6,0.7290,0.8970,0,0,1.62,159333,post_cv
2,6,0.7762,0.7238,0,0,15.91,159333,post_cv
1,6,0.6764,0.9087,0,0,42.20,159333,post_cv
0,6,0.7786,0.6290,0,0,49.08,159333,post_cv
GLOBAL,6,0.7931,0.5801,,,,,post_cv
3,7,0.7663,0.6923,0,0,1.61,159333,post_cv
2,7,0.7663,0.8491,0,0,16.11,159333,post_cv
1,7,0.7355,0.7782,0,0,40.22,159333,post_cv
0,7,0.7889,0.6132,0,0,48.00,159333,post_cv
GLOBAL,7,0.8117,0.5626,,,,,post_cv
3,8,0.7585,0.7424,0,0,1.58,159333,post_cv
2,8,0.7733,0.7178,0,0,16.14,159333,post_cv
1,8,0.7405,1.0276,0,0,42.32,159333,post_cv
0,8,0.7840,0.6723,0,0,49.32,159333,post_cv
GLOBAL,8,0.7944,0.6665,,,,,post_cv
3,9,0.7565,0.7929,0,0,1.52,159333,post_cv
2,9,0.7556,0.7577,0,0,16.33,159333,post_cv
1,9,0.5483,1.5912,0,0,40.66,159333,post_cv
0,9,0.7729,0.6679,0,0,48.28,159333,post_cv
GLOBAL,9,0.8047,0.5788,,,,,post_cv
3,10,0.7483,0.7948,0,0,1.59,159333,post_cv
2,10,0.7240,0.8112,0,0,15.89,159333,post_cv
1,10,0.7047,0.9297,0,0,40.37,159333,post_cv
0,10,0.7466,0.7245,0,0,48.47,159333,post_cv
GLOBAL,10,0.8042,0.5953,,,,,post_cv
3,11,0.7405,0.7996,0,0,1.47,159333,post_cv
2,11,0.7696,0.7653,0,0,16.07,159333,post_cv
1,11,0.7774,0.7333,0,0,41.25,159333,post_cv
0,11,0.7503,0.8790,0,0,49.29,159333,post_cv
GLOBAL,11,0.7909,0.6770,,,,,post_cv
3,12,0.7622,0.8120,0,0,1.54,159333,post_cv
2,12,0.7010,0.9644,0,0,16.38,159333,post_cv
1,12,0.7593,0.9493,0,0,41.98,159333,post_cv
0,12,0.7823,0.7088,0,0,48.71,159333,post_cv
GLOBAL,12,0.7966,0.6401,,,,,post_cv
3,13,0.7639,0.9226,0,0,1.51,159333,post_cv
2,13,0.7552,0.9577,0,0,16.12,159333,post_cv
1,13,0.5951,1.6169,0,0,41.32,159333,post_cv
0,13,0.7828,0.6704,0,0,48.91,159333,post_cv
GLOBAL,13,0.8084,0.6187,,,,,post_cv
3,14,0.7499,0.9526,0,0,1.55,159333,post_cv
2,14,0.7314,0.8866,0,0,15.83,159333,post_cv
1,14,0.7396,1.0780,0,0,41.33,159333,post_cv
0,14,0.6928,0.9139,0,0,48.79,159333,post_cv
GLOBAL,14,0.7947,0.6370,,,,,post_cv
3,15,0.7795,0.9051,0,0,1.60,159333,post_cv
2,15,0.7532,0.8155,0,0,16.35,159333,post_cv
1,15,0.7569,0.8471,0,0,41.68,159333,post_cv
0,15,0.7864,0.7110,0,0,49.42,159333,post_cv
GLOBAL,15,0.7963,0.6486,,,,,post_cv
3,1,0.5778,1.5175,0,0,4.67,159333,no_cv
2,1,0.7113,0.8060,0,0,15.39,159333,no_cv
1,1,0.6969,0.8054,0,0,32.74,159333,no_cv
0,1,0.7018,0.7977,0,0,48.88,159333,no_cv
GLOBAL,1,0.7467,0.7226,,,,,no_cv
3,2,0.7441,0.7600,0,0,1.56,159333,no_cv
2,2,0.7232,0.9126,0,0,10.89,159333,no_cv
1,2,0.7039,0.7851,0,0,26.90,159333,no_cv
0,2,0.7569,0.6728,0,0,41.10,159333,no_cv
GLOBAL,2,0.7932,0.6087,,,,,no_cv
3,3,0.6743,0.8565,0,0,1.96,159333,no_cv
2,3,0.7339,0.7086,0,0,11.43,159333,no_cv
1,3,0.7569,0.6695,0,0,27.65,159333,no_cv
0,3,0.7647,0.6413,0,0,41.98,159333,no_cv
GLOBAL,3,0.8010,0.5788,,,,,no_cv
3,4,0.7462,0.7313,0,0,1.70,159333,no_cv
2,4,0.7630,0.6967,0,0,11.18,159333,no_cv
1,4,0.7446,0.7378,0,0,26.62,159333,no_cv
0,4,0.7725,0.6553,0,0,41.22,159333,no_cv
GLOBAL,4,0.7931,0.5995,,,,,no_cv
3,5,0.7540,0.6925,0,0,1.71,159333,no_cv
2,5,0.7630,0.7908,0,0,10.92,159333,no_cv
1,5,0.7203,0.7374,0,0,27.01,159333,no_cv
0,5,0.7487,0.6782,0,0,41.02,159333,no_cv
GLOBAL,5,0.7937,0.6076,,,,,no_cv
3,6,0.7639,0.6763,0,0,1.68,159333,no_cv
2,6,0.6986,0.8598,0,0,11.05,159333,no_cv
1,6,0.7741,0.6212,0,0,26.95,159333,no_cv
0,6,0.7708,0.6509,0,0,41.66,159333,no_cv
GLOBAL,6,0.8028,0.5561,,,,,no_cv
3,7,0.7010,0.8195,0,0,1.72,159333,no_cv
2,7,0.7733,0.6337,0,0,11.04,159333,no_cv
1,7,0.7298,0.7549,0,0,26.02,159333,no_cv
0,7,0.7544,0.7527,0,0,40.00,159333,no_cv
GLOBAL,7,0.7898,0.6194,,,,,no_cv
3,8,0.7228,0.8281,0,0,1.68,159333,no_cv
2,8,0.7634,0.7036,0,0,11.05,159333,no_cv
1,8,0.7318,0.7467,0,0,26.66,159333,no_cv
0,8,0.6649,0.9012,0,0,40.49,159333,no_cv
GLOBAL,8,0.8029,0.5633,,,,,no_cv
3,9,0.7203,0.8491,0,0,1.76,159333,no_cv
2,9,0.7671,0.6634,0,0,10.99,159333,no_cv
1,9,0.7741,0.6762,0,0,26.20,159333,no_cv
0,9,0.7729,0.6875,0,0,40.26,159333,no_cv
GLOBAL,9,0.8045,0.6056,,,,,no_cv
3,10,0.7483,0.7741,0,0,1.66,159333,no_cv
2,10,0.7639,0.6471,0,0,11.13,159333,no_cv
1,10,0.7823,0.6901,0,0,26.48,159333,no_cv
0,10,0.7725,0.7125,0,0,40.72,159333,no_cv
GLOBAL,10,0.8120,0.6051,,,,,no_cv
3,11,0.7216,0.8141,0,0,1.71,159333,no_cv
2,11,0.7027,0.8166,0,0,11.26,159333,no_cv
1,11,0.7581,0.8276,0,0,26.39,159333,no_cv
0,11,0.7725,0.7343,0,0,40.34,159333,no_cv
GLOBAL,11,0.7919,0.6874,,,,,no_cv
3,12,0.7692,0.7996,0,0,1.65,159333,no_cv
2,12,0.7791,0.6183,0,0,10.90,159333,no_cv
1,12,0.7836,0.6405,0,0,26.54,159333,no_cv
0,12,0.7754,0.6712,0,0,39.59,159333,no_cv
GLOBAL,12,0.8102,0.5551,,,,,no_cv
3,13,0.7622,0.7671,0,0,1.75,159333,no_cv
2,13,0.7770,0.6287,0,0,11.33,159333,no_cv
1,13,0.7524,0.7460,0,0,26.25,159333,no_cv
0,13,0.7938,0.6393,0,0,40.45,159333,no_cv
