round,true,pred,count
1,0,0,5340
1,0,1,16
1,0,2,68
1,0,3,0
1,0,4,0
1,1,0,731
1,1,1,524
1,1,2,265
1,1,3,0
1,1,4,0
1,2,0,577
1,2,1,44
1,2,2,855
1,2,3,0
1,2,4,0
1,3,0,235
1,3,1,4
1,3,2,85
1,3,3,0
1,3,4,0
1,4,0,478
1,4,1,179
1,4,2,45
1,4,3,0
1,4,4,330
2,0,0,5152
2,0,1,65
2,0,2,124
2,0,3,24
2,0,4,59
2,1,0,421
2,1,1,848
2,1,2,192
2,1,3,4
2,1,4,55
2,2,0,321
2,2,1,88
2,2,2,1042
2,2,3,5
2,2,4,20
2,3,0,190
2,3,1,10
2,3,2,84
2,3,3,28
2,3,4,12
2,4,0,234
2,4,1,56
2,4,2,26
2,4,3,4
2,4,4,712
3,0,0,4996
3,0,1,81
3,0,2,242
3,0,3,69
3,0,4,36
3,1,0,383
3,1,1,880
3,1,2,236
3,1,3,5
3,1,4,16
3,2,0,249
3,2,1,79
3,2,2,1140
3,2,3,4
3,2,4,4
3,3,0,180
3,3,1,7
3,3,2,73
3,3,3,64
3,3,4,0
3,4,0,219
3,4,1,94
3,4,2,32
3,4,3,16
3,4,4,671
4,0,0,5151
4,0,1,119
4,0,2,114
4,0,3,18
4,0,4,22
4,1,0,378
4,1,1,993
4,1,2,137
4,1,3,4
4,1,4,8
4,2,0,333
4,2,1,111
4,2,2,1014
4,2,3,10
4,2,4,8
4,3,0,222
4,3,1,20
4,3,2,40
4,3,3,42
4,3,4,0
4,4,0,273
4,4,1,68
4,4,2,20
4,4,3,4
4,4,4,667
5,0,0,5018
5,0,1,62
5,0,2,232
5,0,3,89
5,0,4,23
5,1,0,388
5,1,1,879
5,1,2,225
5,1,3,16
5,1,4,12
5,2,0,226
5,2,1,45
5,2,2,1186
5,2,3,18
5,2,4,1
5,3,0,144
5,3,1,0
5,3,2,52
5,3,3,128
5,3,4,0
5,4,0,237
5,4,1,48
5,4,2,36
5,4,3,22
5,4,4,689
6,0,0,5186
6,0,1,30
6,0,2,72
6,0,3,79
6,0,4,57
6,1,0,488
6,1,1,736
6,1,2,207
6,1,3,19
6,1,4,70
6,2,0,441
6,2,1,28
6,2,2,960
6,2,3,16
6,2,4,31
6,3,0,184
6,3,1,0
6,3,2,30
6,3,3,102
6,3,4,8
6,4,0,203
6,4,1,32
6,4,2,12
6,4,3,16
6,4,4,769
7,0,0,5090
7,0,1,76
7,0,2,143
7,0,3,91
7,0,4,24
7,1,0,374
7,1,1,933
7,1,2,189
7,1,3,8
7,1,4,16
7,2,0,295
7,2,1,49
7,2,2,1104
7,2,3,20
7,2,4,8
7,3,0,144
7,3,1,16
7,3,2,56
7,3,3,108
7,3,4,0
7,4,0,226
7,4,1,56
7,4,2,38
7,4,3,12
7,4,4,700
8,0,0,5272
8,0,1,12
8,0,2,80
8,0,3,23
8,0,4,37
8,1,0,551
8,1,1,696
