round,acc_NORM,acc_MI,acc_STTC,acc_HYP,acc_CD
1,0.9845,0.3447,0.5793,0.0000,0.3198
2,0.9499,0.5579,0.7060,0.0864,0.6899
3,0.9211,0.5789,0.7724,0.1975,0.6502
4,0.9497,0.6533,0.6870,0.1296,0.6463
5,0.9251,0.5783,0.8035,0.3951,0.6676
6,0.9561,0.4842,0.6504,0.3148,0.7452
7,0.9384,0.6138,0.7480,0.3333,0.6783
8,0.9720,0.4579,0.6850,0.1111,0.7277
9,0.9161,0.6500,0.6802,0.2160,0.8101
10,0.8774,0.7763,0.7466,0.1481,0.7490
11,0.9723,0.5342,0.5888,0.1636,0.7016
12,0.9683,0.5395,0.6375,0.2222,0.6812
13,0.9204,0.6737,0.7195,0.2068,0.7345
14,0.8835,0.5526,0.8530,0.3333,0.7461
15,0.9401,0.5368,0.7080,0.3333,0.6948
1,0.9626,0.5967,0.4682,0.0000,0.4661
2,0.9541,0.5908,0.6863,0.1080,0.6134
3,0.9462,0.6224,0.6660,0.2531,0.6667
4,0.9617,0.5303,0.6037,0.3889,0.6919
5,0.9381,0.7355,0.5874,0.1142,0.6289
6,0.9515,0.6316,0.6890,0.1790,0.6318
7,0.9436,0.4230,0.8015,0.1358,0.7103
8,0.8805,0.7375,0.7500,0.1543,0.7703
9,0.9558,0.6401,0.6775,0.3241,0.5843
10,0.9598,0.6204,0.6850,0.0988,0.7229
11,0.9569,0.7000,0.5982,0.1142,0.5504
12,0.9537,0.6467,0.6612,0.2623,0.6822
13,0.9191,0.6316,0.8083,0.1944,0.6386
14,0.9358,0.7178,0.6524,0.1512,0.6260
15,0.9185,0.6500,0.7554,0.2346,0.6802
