feature,F_score,p_value
L5_mean,382.711811225913,9.54683961073963e-310
L8_mean,374.42300133382906,2.1098005048645414e-303
L3_bp_5_15Hz,342.1370809651046,1.553990663892951e-278
L5_bp_5_15Hz,341.6362425727221,3.794564694116012e-278
L4_bp_15_40Hz,338.6347442560733,8.01624893104002e-276
L4_rms,309.19515267357536,6.633595475654859e-253
L9_bp_5_15Hz,294.0430044875923,5.0062863076146894e-241
L7_rms,293.4253367307052,1.530739605114835e-240
L11_bp_5_15Hz,293.39036041042976,1.6307590047551147e-240
L11_bp_15_40Hz,283.20949378740806,1.6847257631545475e-232
L12_bp_5_15Hz,279.19653137083924,2.4687755996209098e-229
L4_bp_5_15Hz,268.5681468062358,6.264241510328317e-221
L7_bp_5_15Hz,262.8303848510168,2.2166463630580368e-216
L2_bp_15_40Hz,261.33436107621577,3.412539843990571e-215
L12_bp_15_40Hz,248.94789564123,2.430276620788961e-205
L6_mean,248.57141201745725,4.849822172473459e-205
L9_mean,248.25163878746645,8.722155851787621e-205
L5_rms,231.06649757647537,4.755665978222712e-191
L11_mean,223.70014452574307,3.8747671993030305e-185
L10_bp_5_15Hz,203.61582008160224,5.954325339338661e-169
L2_bp_5_15Hz,203.60109944628493,6.119756782563805e-169
L8_bp_5_15Hz,199.90751264908465,5.953115805551715e-166
L4_ptp,197.00017687745358,1.346346887807979e-163
L1_bp_5_15Hz,196.36636715519228,4.392533541588683e-163
L8_rms,196.19107480674106,6.092109591407375e-163
L4_mean,192.18036073820943,1.0891937578600742e-159
L10_ptp,191.56863598204967,3.4160408166672e-159
L10_rms,185.2414877667528,4.7170928602803076e-154
L8_ptp,184.4060749545731,2.2549103436039155e-153
L5_ptp,183.84491790626996,6.45101666992858e-153
L7_mean,181.82848251329958,2.822655599194897e-151
L10_bp_15_40Hz,181.81987863303993,2.8685485342376785e-151
L12_rms,175.16763646271139,7.566009382801806e-146
L6_bp_5_15Hz,174.42896809490114,3.0306966575588242e-145
L4_std,172.4224061430057,1.3164199471848572e-143
L7_ptp,166.54202625290813,8.418026625290063e-139
L6_rms,163.43784176207805,2.9223616666466122e-136
L9_rms,162.9896151834,6.804183555978429e-136
L6_std,156.77838883775266,8.400837506928708e-131
L8_bp_0_5Hz,149.69286097493898,5.554898500472636e-125
L10_std,149.41689640968843,9.367551993086213e-125
L7_std,144.96292060499854,4.337369029876384e-121
L5_std,144.4059429697984,1.2473093560945036e-120
L7_bp_15_40Hz,143.079947845502,1.5432411163045258e-119
L5_bp_0_5Hz,133.63191285158229,9.671506312579998e-112
L11_rms,131.41796421496085,6.544352258831246e-110
L8_std,131.0271998621288,1.3773965397729825e-109
L12_ptp,128.6531747857091,1.2688073457197403e-107
L12_std,127.96932958044849,4.6719104049312444e-107
L12_mean,125.37946664108962,6.5238319713820364e-105
L1_bp_15_40Hz,124.58750100528961,2.956470455080367e-104
L9_bp_0_5Hz,122.05943444579727,3.687600446204786e-102
L5_bp_15_40Hz,112.53294768682098,3.015859558930439e-94
L10_mean,108.14287599870318,1.3596140811205523e-90
L6_bp_15_40Hz,108.09676697323123,1.4853167772107583e-90
L9_std,95.44931058207838,5.3127359566034916e-80
L6_ptp,93.85461534826992,1.1448146478555536e-78
L11_std,89.78474480863494,2.914222930187595e-75
L3_bp_15_40Hz,80.8002288188437,9.923278500878283e-68
L11_ptp,78.14756641025023,1.6749246327873783e-65
L9_bp_15_40Hz,72.06614322654943,2.168268965049244e-60
L8_bp_15_40Hz,58.28010233893739,8.963295129032943e-49
L1_bp_0_5Hz,57.35400553378203,5.420729808304134e-48
L3_bp_0_5Hz,48.14940665311466,3.231525941427795e-40
L9_ptp,27.023162971167277,2.374851853276126e-22
L11_bp_0_5Hz,18.21630372808791,6.289203082417707e-15
L6_bp_0_5Hz,12.437714175968626,4.2794644507044926e-10
L4_bp_0_5Hz,9.571529394668392,1.0069093007234516e-07
L7_bp_0_5Hz,8.014888165705127,1.8976605208369973e-06
L1_rms,5.604391529897084,0.0001670207998378795
L2_bp_0_5Hz,5.436060541619426,0.0002272892042796979
L2_std,4.539979389305254,0.0011550651599481314
L2_mean,4.271020373695387,0.0018710381233700368
SDNN_ms,4.227226521376348,0.002023328602602402
RMSSD_ms,3.6770301800218856,0.005365879743146566
HR_bpm,3.4210545645455652,0.008399913236838797
L1_std,3.39051768979791,0.008858824920452006
L2_ptp,3.0698273698295937,0.015427503646758147
L2_rms,2.248277502222285,0.0613413025214081
L1_ptp,1.8377651962542334,0.11853967354037631
L3_mean,1.8198550320564961,0.12191941085651103
L10_bp_0_5Hz,1.5111502657993052,0.1959212655949837
L3_std,1.2847714397434562,0.273391660749963
L3_rms,1.2003752526301312,0.3083420858696974
L12_bp_0_5Hz,0.1739875143376037,0.9518225139305523
L3_ptp,0.15650039262165544,0.9601266233363767
L1_mean,0.13071237741282468,0.9712353732216179
