,feature,F_score,p_value
0,L11_bp_15_40Hz,891.1697318106922,0.0
1,L5_std,782.9828120907383,0.0
2,L4_bp_15_40Hz,762.4424292739701,0.0
3,L12_bp_15_40Hz,699.108205410947,0.0
4,L3_std,666.819260992334,0.0
5,L5_ptp,647.3689060229251,0.0
6,L4_ptp,570.2216626823564,0.0
7,L11_ptp,553.8627201885257,0.0
8,L10_bp_15_40Hz,551.3665701060839,0.0
9,L5_bp_5_15Hz,545.4155290486112,0.0
10,L3_ptp,544.8700369327414,0.0
11,L7_bp_15_40Hz,536.5724550514021,0.0
12,L5_rms,527.9074574404219,0.0
13,L4_bp_5_15Hz,525.337361351583,0.0
14,L5_bp_15_40Hz,507.0019337069673,0.0
15,L3_rms,498.3335764817977,0.0
16,L1_bp_5_15Hz,485.81599496596635,0.0
17,L4_std,482.9695511268511,0.0
18,L3_bp_5_15Hz,476.2982481065094,0.0
19,L7_bp_5_15Hz,465.8028437391596,0.0
20,L3_bp_15_40Hz,452.6391911240502,0.0
21,L1_bp_15_40Hz,444.9229583080385,0.0
22,L12_bp_5_15Hz,438.77656272113666,0.0
23,L11_bp_5_15Hz,437.7288389692638,0.0
24,L10_ptp,433.1892221681857,0.0
