,L11_bp_15_40Hz,L5_std,L4_bp_15_40Hz,L12_bp_15_40Hz,L3_std,L5_ptp,L4_ptp,L11_ptp,L10_bp_15_40Hz,L5_bp_5_15Hz,L3_ptp,L7_bp_15_40Hz,L5_rms,L4_bp_5_15Hz,L5_bp_15_40Hz,L3_rms,L1_bp_5_15Hz,L4_std,L3_bp_5_15Hz,L7_bp_5_15Hz,L3_bp_15_40Hz,L1_bp_15_40Hz,L12_bp_5_15Hz,L11_bp_5_15Hz,L10_ptp
L11_bp_15_40Hz,1.0,0.067,0.524,0.85,0.09,0.085,0.444,0.886,0.764,0.046,0.111,0.215,0.067,0.383,0.115,0.09,0.202,0.419,0.09,0.139,0.134,0.319,0.665,0.801,0.675
L5_std,0.067,1.0,0.157,0.086,0.702,0.93,0.271,0.127,0.038,0.902,0.664,0.231,0.997,0.288,0.854,0.701,0.726,0.328,0.593,0.314,0.586,0.601,0.169,0.124,0.074
L4_bp_15_40Hz,0.524,0.157,1.0,0.626,0.078,0.179,0.853,0.391,0.335,0.094,0.11,0.408,0.158,0.74,0.23,0.08,0.434,0.82,0.025,0.193,0.143,0.652,0.448,0.413,0.221
L12_bp_15_40Hz,0.85,0.086,0.626,1.0,0.114,0.096,0.543,0.757,0.519,0.042,0.131,0.272,0.089,0.495,0.112,0.117,0.254,0.536,0.082,0.169,0.141,0.362,0.802,0.717,0.446
L3_std,0.09,0.702,0.078,0.114,1.0,0.622,0.196,0.149,0.096,0.577,0.919,0.225,0.704,0.192,0.498,0.997,0.327,0.259,0.86,0.301,0.825,0.183,0.182,0.154,0.131
L5_ptp,0.085,0.93,0.179,0.096,0.622,1.0,0.299,0.158,0.045,0.856,0.675,0.187,0.926,0.286,0.905,0.62,0.694,0.302,0.551,0.26,0.596,0.649,0.157,0.117,0.099
L4_ptp,0.444,0.271,0.853,0.543,0.196,0.299,1.0,0.446,0.279,0.171,0.234,0.372,0.276,0.76,0.225,0.2,0.473,0.903,0.1,0.23,0.159,0.566,0.481,0.436,0.271
L11_ptp,0.886,0.127,0.391,0.757,0.149,0.158,0.446,1.0,0.673,0.091,0.182,0.155,0.13,0.328,0.115,0.152,0.2,0.38,0.125,0.129,0.139,0.25,0.641,0.765,0.717
L10_bp_15_40Hz,0.764,0.038,0.335,0.519,0.096,0.045,0.279,0.673,1.0,0.027,0.102,0.191,0.038,0.225,0.068,0.094,0.094,0.263,0.111,0.141,0.131,0.177,0.407,0.596,0.903
L5_bp_5_15Hz,0.046,0.902,0.094,0.042,0.577,0.856,0.171,0.091,0.027,1.0,0.571,0.245,0.895,0.278,0.852,0.572,0.782,0.22,0.619,0.365,0.555,0.572,0.167,0.137,0.056
