,kept_features
0,L1_mean
1,L2_mean
2,L3_mean
3,L4_mean
4,L5_mean
5,L6_mean
6,L7_mean
7,L8_mean
8,L9_mean
9,L10_mean
10,L11_mean
11,L12_mean
12,L1_std
13,L2_std
14,L3_std
15,L4_std
16,L5_std
17,L6_std
18,L7_std
19,L8_std
20,L9_std
21,L10_std
22,L11_std
23,L12_std
24,L1_ptp
25,L2_ptp
26,L3_ptp
27,L4_ptp
28,L5_ptp
29,L6_ptp
30,L7_ptp
31,L8_ptp
32,L9_ptp
33,L10_ptp
34,L11_ptp
35,L12_ptp
36,L1_bp_0_5Hz
37,L2_bp_0_5Hz
38,L3_bp_0_5Hz
39,L4_bp_0_5Hz
40,L5_bp_0_5Hz
41,L6_bp_0_5Hz
42,L7_bp_0_5Hz
43,L8_bp_0_5Hz
44,L9_bp_0_5Hz
45,L10_bp_0_5Hz
46,L11_bp_0_5Hz
47,L12_bp_0_5Hz
48,L1_bp_5_15Hz
49,L2_bp_5_15Hz
50,L3_bp_5_15Hz
51,L4_bp_5_15Hz
52,L5_bp_5_15Hz
53,L6_bp_5_15Hz
54,L7_bp_5_15Hz
55,L8_bp_5_15Hz
56,L9_bp_5_15Hz
57,L10_bp_5_15Hz
58,L11_bp_5_15Hz
59,L12_bp_5_15Hz
60,L1_bp_15_40Hz
61,L2_bp_15_40Hz
62,L3_bp_15_40Hz
63,L4_bp_15_40Hz
64,L5_bp_15_40Hz
65,L6_bp_15_40Hz
66,L7_bp_15_40Hz
67,L8_bp_15_40Hz
68,L9_bp_15_40Hz
69,L10_bp_15_40Hz
70,L11_bp_15_40Hz
71,L12_bp_15_40Hz
72,n_beats
73,SDNN_ms
74,RMSSD_ms
