,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,L10_mean,L11_mean,L12_mean,L1_std,L2_std,L3_std,L4_std,L5_std,L6_std,L7_std,L8_std,L9_std,L10_std,L11_std,L12_std,L1_ptp,L2_ptp,L3_ptp,L4_ptp,L5_ptp,L6_ptp,L7_ptp,L8_ptp,L9_ptp,L10_ptp,L11_ptp,L12_ptp,L1_bp_0_5Hz,L2_bp_0_5Hz,L3_bp_0_5Hz,L4_bp_0_5Hz,L5_bp_0_5Hz,L6_bp_0_5Hz,L7_bp_0_5Hz,L8_bp_0_5Hz,L9_bp_0_5Hz,L10_bp_0_5Hz,L11_bp_0_5Hz,L12_bp_0_5Hz,L1_bp_5_15Hz,L2_bp_5_15Hz,L3_bp_5_15Hz,L4_bp_5_15Hz,L5_bp_5_15Hz,L6_bp_5_15Hz,L7_bp_5_15Hz,L8_bp_5_15Hz,L9_bp_5_15Hz,L10_bp_5_15Hz,L11_bp_5_15Hz,L12_bp_5_15Hz,L1_bp_15_40Hz,L2_bp_15_40Hz,L3_bp_15_40Hz,L4_bp_15_40Hz,L5_bp_15_40Hz,L6_bp_15_40Hz,L7_bp_15_40Hz,L8_bp_15_40Hz,L9_bp_15_40Hz,L10_bp_15_40Hz,L11_bp_15_40Hz,L12_bp_15_40Hz,n_beats,SDNN_ms,RMSSD_ms
L1_mean,1.0,0.319,0.526,0.77,0.833,0.142,0.117,0.022,0.032,0.018,0.058,0.075,0.039,0.047,0.013,0.003,0.028,0.055,0.006,0.011,0.005,0.017,0.012,0.019,0.041,0.035,0.002,0.002,0.027,0.036,0.011,0.011,0.007,0.013,0.008,0.016,0.014,0.055,0.025,0.022,0.002,0.058,0.011,0.008,0.005,0.03,0.03,0.029,0.059,0.019,0.006,0.026,0.044,0.032,0.016,0.002,0.003,0.009,0.002,0.003,0.042,0.022,0.005,0.011,0.035,0.028,0.014,0.014,0.01,0.011,0.005,0.014,0.007,0.004,0.005
L2_mean,0.319,1.0,0.502,0.779,0.124,0.823,0.108,0.061,0.014,0.084,0.11,0.098,0.002,0.005,0.04,0.018,0.029,0.035,0.007,0.002,0.002,0.006,0.014,0.001,0.007,0.007,0.024,0.025,0.017,0.018,0.016,0.006,0.006,0.013,0.018,0.01,0.032,0.053,0.064,0.028,0.054,0.071,0.018,0.009,0.012,0.025,0.024,0.032,0.011,0.033,0.018,0.049,0.017,0.003,0.02,0.01,0.01,0.012,0.035,0.033,0.013,0.023,0.02,0.035,0.015,0.005,0.02,0.007,0.006,0.016,0.026,0.025,0.007,0.001,0.001
L3_mean,0.526,0.502,1.0,0.01,0.867,0.863,0.002,0.037,0.017,0.051,0.036,0.005,0.04,0.034,0.029,0.014,0.056,0.016,0.004,0.004,0.007,0.021,0.024,0.018,0.033,0.032,0.023,0.02,0.045,0.013,0.001,0.008,0.01,0.022,0.023,0.023,0.039,0.005,0.041,0.01,0.053,0.014,0.007,0.006,0.004,0.006,0.005,0.004,0.046,0.044,0.022,0.016,0.06,0.028,0.005,0.004,0.005,0.018,0.029,0.029,0.029,0.04,0.022,0.019,0.05,0.022,0.002,0.012,0.01,0.025,0.027,0.034,0.003,0.002,0.005
L4_mean,0.77,0.779,0.01,1.0,0.392,0.382,0.155,0.064,0.013,0.047,0.091,0.097,0.022,0.022,0.028,0.015,0.001,0.046,0.011,0.002,0.002,0.004,0.005,0.005,0.028,0.007,0.01,0.021,0.005,0.023,0.022,0.002,0.001,0.001,0.01,0.002,0.005,0.056,0.048,0.02,0.027,0.07,0.014,0.006,0.007,0.028,0.027,0.03,0.04,0.015,0.004,0.049,0.014,0.014,0.024,0.007,0.007,0.005,0.027,0.023,0.03,0.006,0.006,0.028,0.008,0.013,0.024,0.0,0.004,0.003,0.014,0.01,0.012,0.006,0.006
L5_mean,0.833,0.124,0.867,0.392,1.0,0.564,0.044,0.023,0.038,0.009,0.021,0.047,0.041,0.047,0.012,0.015,0.048,0.039,0.004,0.011,0.008,0.024,0.024,0.024,0.038,0.04,0.013,0.018,0.04,0.027,0.003,0.014,0.01,0.022,0.02,0.026,0.027,0.026,0.014,0.008,0.034,0.02,0.002,0.005,0.002,0.022,0.019,0.013,0.057,0.039,0.018,0.001,0.06,0.033,0.011,0.006,0.002,0.018,0.02,0.023,0.037,0.037,0.015,0.01,0.048,0.028,0.005,0.018,0.011,0.023,0.022,0.031,0.003,0.005,0.007
L6_mean,0.142,0.823,0.863,0.382,0.564,1.0,0.043,0.043,0.007,0.084,0.087,0.06,0.025,0.01,0.038,0.013,0.047,0.014,0.001,0.001,0.004,0.012,0.017,0.006,0.016,0.016,0.027,0.022,0.034,0.007,0.007,0.006,0.009,0.018,0.02,0.015,0.044,0.036,0.056,0.027,0.06,0.047,0.015,0.012,0.012,0.015,0.014,0.022,0.02,0.037,0.021,0.033,0.041,0.011,0.009,0.006,0.008,0.015,0.032,0.03,0.009,0.031,0.024,0.029,0.035,0.006,0.01,0.009,0.009,0.022,0.026,0.03,0.004,0.002,0.0
L7_mean,0.117,0.108,0.002,0.155,0.044,0.043,1.0,0.336,0.197,0.117,0.051,0.031,0.0,0.011,0.007,0.008,0.004,0.013,0.025,0.01,0.004,0.007,0.009,0.002,0.0,0.009,0.002,0.007,0.003,0.009,0.016,0.001,0.0,0.005,0.005,0.002,0.029,0.036,0.029,0.038,0.031,0.031,0.019,0.005,0.002,0.008,0.006,0.01,0.007,0.005,0.005,0.002,0.007,0.005,0.015,0.01,0.013,0.011,0.009,0.002,0.008,0.002,0.007,0.007,0.01,0.0,0.011,0.002,0.004,0.008,0.011,0.005,0.003,0.001,0.003
L8_mean,0.022,0.061,0.037,0.064,0.023,0.043,0.336,1.0,0.371,0.235,0.118,0.081,0.016,0.007,0.0,0.013,0.007,0.003,0.008,0.015,0.012,0.019,0.029,0.023,0.014,0.006,0.002,0.011,0.009,0.002,0.005,0.013,0.008,0.016,0.023,0.017,0.006,0.01,0.01,0.008,0.009,0.013,0.001,0.014,0.009,0.001,0.007,0.001,0.016,0.009,0.003,0.014,0.008,0.004,0.008,0.009,0.008,0.016,0.025,0.017,0.023,0.013,0.011,0.023,0.018,0.005,0.009,0.007,0.007,0.017,0.027,0.019,0.01,0.005,0.007
L9_mean,0.032,0.014,0.017,0.013,0.038,0.007,0.197,0.371,1.0,0.375,0.236,0.158,0.005,0.001,0.011,0.006,0.002,0.013,0.001,0.005,0.006,0.004,0.017,0.011,0.008,0.005,0.005,0.012,0.003,0.008,0.007,0.002,0.0,0.011,0.02,0.015,0.009,0.017,0.018,0.012,0.015,0.022,0.011,0.004,0.0,0.013,0.005,0.009,0.01,0.004,0.005,0.011,0.005,0.005,0.001,0.005,0.008,0.005,0.018,0.012,0.011,0.005,0.001,0.011,0.006,0.004,0.006,0.0,0.006,0.009,0.019,0.011,0.013,0.005,0.006
L10_mean,0.018,0.084,0.051,0.047,0.009,0.084,0.117,0.235,0.375,1.0,0.466,0.303,0.009,0.008,0.015,0.003,0.003,0.021,0.009,0.019,0.009,0.0,0.017,0.003,0.019,0.002,0.01,0.014,0.011,0.015,0.008,0.015,0.002,0.012,0.027,0.011,0.013,0.023,0.023,0.015,0.019,0.029,0.016,0.019,0.016,0.018,0.017,0.027,0.014,0.005,0.007,0.008,0.013,0.015,0.007,0.016,0.002,0.003,0.022,0.015,0.02,0.0,0.005,0.011,0.017,0.012,0.006,0.014,0.001,0.009,0.024,0.017,0.005,0.016,0.016
L11_mean,0.058,0.11,0.036,0.091,0.021,0.087,0.051,0.118,0.236,0.466,1.0,0.436,0.022,0.025,0.0,0.006,0.024,0.023,0.01,0.017,0.001,0.0,0.006,0.009,0.033,0.018,0.006,0.003,0.034,0.016,0.009,0.011,0.008,0.011,0.016,0.014,0.006,0.033,0.015,0.019,0.007,0.029,0.007,0.019,0.007,0.014,0.014,0.007,0.027,0.013,0.012,0.004,0.035,0.013,0.01,0.009,0.005,0.003,0.011,0.014,0.028,0.02,0.012,0.001,0.036,0.016,0.0,0.012,0.005,0.005,0.008,0.005,0.0,0.005,0.002
